player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
63123,강승호,두산,2루수,124,110,945 1/3,14,0,204,300,69,0.973,0,0,0,-
63123,강승호,두산,1루수,23,3,59 1/3,0,0,52,10,4,1.000,0,0,0,-
63123,강승호,두산,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
62925,강진성,두산,1루수,22,13,133 1/3,0,0,121,7,14,1.000,0,0,0,-
62925,강진성,두산,우익수,7,6,35 1/3,0,0,3,0,0,1.000,0,0,0,-
62925,강진성,두산,좌익수,4,1,10,0,0,5,0,0,1.000,0,0,0,-
51269,강현구,두산,우익수,1,1,3 2/3,1,0,0,0,0,0.000,0,0,0,-
51269,강현구,두산,좌익수,1,1,8,1,0,2,0,0,0.667,0,0,0,-
68220,곽빈,두산,투수,27,27,147 2/3,1,1,9,18,1,0.964,0,0,0,-
68204,권민석,두산,1루수,6,0,9,0,0,10,0,0,1.000,0,0,0,-
68204,권민석,두산,유격수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
68204,권민석,두산,3루수,5,0,11,0,0,1,1,1,1.000,0,0,0,-
50203,권휘,두산,투수,10,0,9 1/3,0,0,0,2,1,1.000,0,0,0,-
77263,김강률,두산,투수,26,0,24 2/3,0,0,1,1,0,1.0,0,0,0,-
69238,김대한,두산,중견수,12,4,49,0,0,22,0,0,1.000,0,0,0,-
69238,김대한,두산,우익수,43,20,222 2/3,0,0,43,1,0,1.0,0,0,0,-
69238,김대한,두산,좌익수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
51230,김동주,두산,투수,10,0,16 2/3,1,0,2,0,0,0.667,0,0,0,-
67246,김명신,두산,투수,68,0,79 2/3,0,0,4,9,2,1.0,0,0,0,-
65269,김민혁,두산,1루수,17,12,106 1/3,2,0,95,5,10,0.980,0,0,0,-
65269,김민혁,두산,3루수,3,1,14,0,0,2,2,0,1.000,0,0,0,-
65269,김민혁,두산,포수,1,0,6,0,0,9,0,0,1.000,1,1,0,0.0
63257,김인태,두산,우익수,49,47,342,1,0,75,1,0,0.987,0,0,0,-
63257,김인태,두산,좌익수,26,16,136,0,0,28,0,0,1.000,0,0,0,-
63257,김인태,두산,중견수,2,2,12,1,0,5,0,0,0.833,0,0,0,-
74206,김재호,두산,유격수,98,61,580,6,0,111,184,43,0.98,0,0,0,-
74206,김재호,두산,3루수,7,4,34,0,0,3,10,0,1.000,0,0,0,-
78224,김재환,두산,좌익수,105,104,825 2/3,3,0,191,6,0,0.985,0,0,0,-
60181,김지용,두산,투수,18,0,19 1/3,0,1,1,2,0,1.000,0,0,0,-
69207,김태근,두산,중견수,2,2,16 1/3,0,0,4,0,0,1.000,0,0,0,-
51257,미란다,두산,투수,3,3,7 2/3,0,0,0,2,0,1.000,0,0,0,-
64468,박계범,두산,유격수,25,13,108 2/3,4,0,13,27,5,0.909,0,0,0,-
64468,박계범,두산,3루수,30,17,159,4,0,16,25,2,0.911,0,0,0,-
64468,박계범,두산,2루수,23,15,127,0,0,23,45,8,1.000,0,0,0,-
62244,박세혁,두산,포수,126,110,884,5,0,689,68,10,0.993,7,74,21,22.1
68249,박신지,두산,투수,29,9,61 2/3,2,0,4,9,1,0.867,0,0,0,-
50205,박웅,두산,투수,8,0,6,0,0,0,1,0,1.000,0,0,0,-
67202,박유연,두산,포수,10,2,32,0,0,29,3,0,1.000,1,3,0,0.0
65639,박정수,두산,투수,13,0,19 2/3,0,0,1,2,0,1.000,0,0,0,-
67266,박치국,두산,투수,15,0,11 2/3,0,0,0,4,0,1.000,0,0,0,-
52257,브랜든,두산,투수,11,11,65,0,0,4,8,1,1.000,0,0,0,-
66203,서예일,두산,유격수,3,0,4 2/3,2,0,0,1,0,0.333,0,0,0,-
66203,서예일,두산,2루수,17,1,44 2/3,0,0,10,17,3,1.000,0,0,0,-
66203,서예일,두산,3루수,16,0,31 1/3,1,0,0,6,1,0.857,0,0,0,-
69203,송승환,두산,좌익수,7,6,57,0,0,12,0,0,1.000,0,0,0,-
69203,송승환,두산,1루수,1,0,2,0,0,4,0,0,1.000,0,0,0,-
