player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
63123,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5
62925,강진성,두산,0.163,40,94,80,7,13,2,0,1,18,8,1,0
51269,강현구,두산,0.333,3,5,3,0,1,0,0,0,1,0,0,0
68204,권민석,두산,0.0,16,3,3,3,0,0,0,0,0,0,0,0
77263,김강률,두산,-,5,0,0,0,0,0,0,0,0,0,0,0
69238,김대한,두산,0.24,51,110,96,13,23,6,1,4,43,11,2,1
51230,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
67246,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
65269,김민혁,두산,0.284,38,97,88,11,25,2,0,5,42,16,0,0
63257,김인태,두산,0.247,83,279,235,25,58,6,0,5,79,25,0,0
74206,김재호,두산,0.215,102,264,223,26,48,7,0,1,58,21,7,4
78224,김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,0,4
60181,김지용,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
69207,김태근,두산,0.5,2,6,4,0,2,1,0,0,3,2,0,0
64468,박계범,두산,0.221,77,168,145,21,32,8,0,2,46,14,6,2
62244,박세혁,두산,0.248,128,402,351,33,87,13,1,3,111,41,8,4
68249,박신지,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
67202,박유연,두산,0.235,13,19,17,0,4,0,0,0,4,2,0,0
65639,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
66203,서예일,두산,0.16,35,27,25,2,4,1,0,0,5,2,1,0
69203,송승환,두산,0.25,11,28,28,3,7,1,0,1,11,4,0,0
64086,신성현,두산,0.087,17,25,23,3,2,0,0,1,5,2,0,0
50202,안권수,두산,0.297,76,267,239,43,71,7,2,0,82,20,1,0
64011,안승한,두산,0.333,30,39,36,5,12,3,0,0,15,8,1,0
51203,안재석,두산,0.213,99,264,235,22,50,10,0,3,69,17,4,2
64153,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2
50293,양찬열,두산,0.244,41,94,82,15,20,4,0,3,33,12,1,0
77248,오재원,두산,0.172,18,31,29,2,5,2,0,0,7,4,0,1
62242,윤명준,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
64805,이승진,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
67207,이유찬,두산,0.241,13,31,29,3,7,0,0,1,10,2,1,1
78352,임창민,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
63202,장승현,두산,0.208,60,109,96,6,20,3,0,0,23,9,3,1
74513,장원준,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
68205,전민재,두산,0.289,35,46,45,11,13,1,0,0,14,0,1,0
79231,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4
68242,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
66209,조수행,두산,0.235,117,134,119,36,28,4,1,1,37,9,2,2
64213,최용제,두산,-,1,1,0,0,0,0,0,0,0,0,0,0
69209,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5
79240,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7
61643,홍건희,두산,-,7,0,0,0,0,0,0,0,0,0,0,0
66233,홍성호,두산,0.167,12,19,18,3,3,0,0,0,3,0,0,0
