선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
고영창,KIA,1.88,27,0,1,0,0,0.000,24,24,2,10,3,9,5,5,1.42
김기훈,KIA,1.04,5,0,0,0,0,-,8 2/3,4,0,7,0,9,1,1,1.27
김도현,KIA,7.59,5,0,1,0,0,0.000,10 2/3,17,2,5,1,11,9,9,2.06
김사윤,KIA,7.0,31,3,0,0,2,1.000,27,23,2,24,4,23,21,21,1.74
김유신,KIA,6.14,10,1,0,0,0,1.000,14 2/3,9,3,16,0,9,11,10,1.7
김재열,KIA,6.07,47,1,2,1,5,0.333,43,45,5,22,1,36,33,29,1.56
김현수,KIA,4.5,1,0,0,0,0,-,2,3,0,1,0,1,1,1,2.0
김현준,KIA,5.52,12,0,1,0,0,0.000,14 2/3,19,0,5,2,9,14,9,1.64
남하준,KIA,8.71,11,1,1,0,1,0.500,10 1/3,18,4,6,1,6,11,10,2.32
놀린,KIA,2.47,21,8,8,0,0,0.500,124,115,7,24,8,108,41,34,1.12
로니,KIA,5.89,10,3,3,0,0,0.500,44 1/3,47,7,28,3,32,36,29,1.69
박준표,KIA,5.4,34,1,0,0,8,1.000,23 1/3,27,4,10,8,11,15,14,1.59
송후섭,KIA,162.0,1,0,0,0,0,-,1/3,4,0,1,1,0,6,6,15.0
양현종,KIA,3.85,30,12,7,0,0,0.632,175 1/3,170,14,50,3,141,86,75,1.25
유승철,KIA,7.58,21,3,0,0,0,1.000,19,21,5,16,0,14,20,16,1.95
윤중현,KIA,5.03,47,3,1,0,5,0.750,53 2/3,63,4,14,5,27,32,30,1.43
이승재,KIA,0.0,1,0,0,0,0,-,1,0,0,0,1,1,0,0,0.0
이의리,KIA,3.86,29,10,10,0,0,0.5,154,128,18,74,9,161,79,66,1.31
이의리,KIA,3.86,29,10,10,0,0,0.500,154,128,18,74,9,161,79,66,1.31
이준영,KIA,2.91,75,1,1,1,17,0.500,46 1/3,41,3,26,0,42,17,15,1.45
임기영,KIA,4.24,26,4,13,1,0,0.235,129 1/3,137,18,36,5,82,63,61,1.34
장재혁,KIA,6.0,3,0,0,0,0,-,3,3,0,3,0,4,2,2,2.0
장지수,KIA,0.0,1,0,0,0,0,-,2,2,0,1,0,1,0,0,1.5
장현식,KIA,3.12,54,2,3,1,19,0.400,52,54,4,26,1,40,20,18,1.54
전상현,KIA,3.3,50,5,5,2,16,0.500,46 1/3,42,2,16,0,53,20,17,1.25
정해영,KIA,3.38,55,3,7,32,0,0.300,56,54,3,18,0,43,21,21,1.29
최지민,KIA,13.5,6,0,0,0,0,-,6,12,1,5,1,7,9,9,2.83
파노니,KIA,2.72,14,3,4,0,0,0.429,82 2/3,78,5,24,2,73,33,25,1.23
한승혁,KIA,5.27,24,4,3,0,0,0.571,80 1/3,100,4,40,6,69,52,47,1.74
홍상삼,KIA,5.82,24,2,1,0,1,0.667,21 2/3,19,3,15,1,19,16,14,1.57
