선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
고영표,KT,3.26,28,13,8,0,0,0.619,182 1/3,191,7,23,16,156,69,66,1.17
김민,KT,2.35,6,0,0,0,2,-,7 2/3,4,1,2,1,8,2,2,0.78
김민수,KT,1.9,76,5,4,3,30,0.556,80 2/3,66,3,15,6,91,19,17,1.0
김재윤,KT,3.26,61,9,7,33,0,0.563,66 1/3,46,5,21,0,78,26,24,1.01
김태오,KT,4.15,5,0,0,0,0,-,4 1/3,9,0,0,0,5,2,2,2.08
데스파이네,KT,4.53,30,8,12,0,0,0.4,163,198,14,48,9,123,94,82,1.51
데스파이네,KT,4.53,30,8,12,0,0,0.400,163,198,14,48,9,123,94,82,1.51
박시영,KT,4.6,17,0,2,0,5,0.000,15 2/3,19,2,4,0,11,8,8,1.47
박영현,KT,3.66,52,0,1,0,2,0.000,51 2/3,46,5,20,0,55,23,21,1.28
배제성,KT,4.21,24,3,9,0,0,0.250,107,103,8,46,1,89,56,50,1.39
벤자민,KT,2.7,17,5,4,0,0,0.556,96 2/3,75,11,24,4,77,34,29,1.02
소형준,KT,3.05,27,13,6,0,0,0.684,171 1/3,158,8,39,5,117,68,58,1.15
심재민,KT,3.74,44,4,1,0,6,0.800,43 1/3,41,4,16,2,21,19,18,1.32
안영명,KT,2.7,4,0,0,0,0,-,3 1/3,3,0,0,0,1,1,1,0.9
엄상백,KT,2.95,33,11,2,0,0,0.846,140 1/3,125,14,46,4,139,52,46,1.22
이상우,KT,2.7,2,0,0,0,0,-,3 1/3,3,0,2,0,1,1,1,1.5
이정현,KT,2.45,3,0,0,0,0,-,3 2/3,3,1,4,1,1,1,1,1.91
이창재,KT,33.75,4,0,1,0,0,0.000,1 1/3,5,0,2,1,2,5,5,5.25
이채호,KT,2.95,38,5,0,0,3,1.000,36 2/3,28,0,13,6,32,13,12,1.12
전유수,KT,8.18,8,0,0,0,0,-,11,17,1,5,0,2,10,10,2.0
조현우,KT,4.5,19,0,0,0,2,-,12,14,0,4,4,5,8,6,1.5
주권,KT,3.91,58,3,3,1,15,0.500,50 2/3,58,3,8,0,31,22,22,1.3
지명성,KT,4.5,2,0,0,0,0,-,2,3,0,0,1,1,1,1,1.5
쿠에바스,KT,2.45,2,1,0,0,0,1.000,11,2,1,5,1,8,3,3,0.64
하준호,KT,8.27,20,0,1,0,0,0.000,16 1/3,16,2,16,1,15,16,15,1.96
