선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강민국,키움,0.000,3,4,3,0,0,0,0,0,0,1,0,0
김성진,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
김수환,키움,0.179,57,168,140,18,25,6,0,4,43,14,3,1
김시앙,키움,0.083,13,14,12,1,1,0,0,0,1,0,1,0
김웅빈,키움,0.226,45,135,115,17,26,5,1,1,36,11,3,0
김재현,키움,0.207,56,88,82,4,17,4,0,1,24,9,2,1
김주형,키움,0.200,55,130,110,16,22,7,1,1,34,5,2,1
김준완,키움,0.192,111,398,317,43,61,10,2,1,78,28,6,3
김태진,키움,0.268,77,276,254,37,68,5,1,0,75,20,3,1
김태훈,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3
김휘집,키움,0.222,112,393,333,40,74,12,1,8,112,36,3,4
노운현,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
박승주,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
박주성,키움,-,2,0,0,0,0,0,0,0,0,0,0,0
박주홍,키움,0.224,21,57,49,4,11,1,1,0,14,3,0,0
박준태,키움,0.157,52,84,70,9,11,4,0,1,18,10,1,0
박찬혁,키움,0.211,52,175,161,13,34,5,0,6,57,17,0,0
송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7
신준우,키움,0.140,76,54,43,6,6,3,0,0,9,0,2,0
애플러,키움,-,1,0,0,0,0,0,0,0,0,0,0,0
예진원,키움,0.100,20,14,10,0,1,0,0,0,1,0,1,0
이명기,키움,0.250,2,4,4,0,1,0,0,0,1,0,0,0
이병규,키움,0.184,24,40,38,7,7,1,1,0,10,5,0,0
이용규,키움,0.199,86,326,271,34,54,6,0,0,60,21,1,2
이재홍,키움,0.250,4,4,4,0,1,0,0,0,1,0,0,0
이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3
이주형,키움,0.169,32,85,71,7,12,0,0,1,15,8,0,1
이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0
임지열,키움,0.275,40,148,131,16,36,6,0,1,45,15,3,2
전병우,키움,0.203,115,231,197,14,40,7,0,5,62,21,9,1
푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4
하영민,키움,-,3,0,0,0,0,0,0,0,0,0,0,0
