player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
50360,김동혁,키움,4.73,24,2,1,0,3,0.667,26 2/3,28,0,11,1,18,14,14,1.46
66018,김선기,키움,5.15,26,3,1,1,4,0.750,36 2/3,39,1,19,2,30,24,21,1.58
51301,김성진,키움,7.89,23,0,2,0,2,0.000,21 2/3,31,3,10,3,16,25,19,1.89
67391,김재웅,키움,2.01,65,3,2,13,27,0.600,62 2/3,39,4,29,4,56,14,14,1.09
51393,김준형,키움,2.03,12,0,1,0,0,0.000,13 1/3,9,0,13,2,6,3,3,1.65
62360,김태훈,키움,3.14,43,3,2,9,10,0.600,43,40,3,20,2,34,18,15,1.4
52394,노운현,키움,11.25,5,0,1,0,0,0.000,4,10,0,3,1,3,7,5,3.25
60336,문성현,키움,3.27,45,0,1,13,9,0.000,41 1/3,34,3,14,1,32,16,15,1.16
66305,박승주,키움,4.32,27,1,0,0,0,1.000,25,20,3,21,3,22,12,12,1.64
69328,박주성,키움,5.54,11,1,1,0,0,0.500,13,11,4,7,3,8,9,8,1.38
52391,송정인,키움,22.5,1,0,0,0,0,-,2,4,0,3,0,0,5,5,3.5
68341,안우진,키움,2.11,30,15,8,0,0,0.652,196,131,4,55,4,224,51,46,0.95
52308,애플러,키움,4.3,33,6,8,0,0,0.429,140 1/3,172,13,40,6,86,69,67,1.51
61268,양현,키움,5.15,25,3,2,2,5,0.600,36 2/3,39,4,17,1,14,23,21,1.53
69343,요키시,키움,2.57,30,10,8,0,0,0.556,185 1/3,169,8,33,5,154,61,53,1.09
69399,윤정현,키움,6.35,17,1,1,0,4,0.500,22 2/3,27,2,12,5,17,17,16,1.72
52397,이명종,키움,5.27,27,4,1,0,4,0.800,27 1/3,28,3,16,2,20,17,16,1.61
67603,이승호,키움,3.58,53,3,2,10,10,0.600,50 1/3,44,7,27,3,44,20,20,1.41
64051,이영준,키움,4.29,26,2,2,0,4,0.500,21,27,0,13,2,16,12,10,1.9
51359,장재영,키움,7.71,14,0,0,0,0,-,14,23,2,7,1,19,12,12,2.14
78148,정찬헌,키움,5.36,20,5,6,0,0,0.455,87 1/3,106,13,28,6,42,55,52,1.53
52330,주승우,키움,10.8,4,0,0,0,0,-,3 1/3,5,1,7,0,4,5,4,3.6
65320,최원태,키움,3.75,26,7,5,0,0,0.583,105 2/3,93,5,40,5,63,50,44,1.26
64350,하영민,키움,3.43,41,5,3,0,2,0.625,39 1/3,35,4,21,0,23,27,15,1.42
62363,한현희,키움,4.75,21,6,4,0,0,0.600,77 2/3,83,9,24,8,59,44,41,1.38
