선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
가르시아,LG,2루수,35,34,297,5,0,58,87,14,0.967,0,0,0,-
가르시아,LG,3루수,4,3,27 1/3,1,0,2,5,0,0.875,0,0,0,-
가르시아,LG,유격수,2,1,6,0,0,0,3,2,1.000,0,0,0,-
강효종,LG,투수,1,1,5,0,0,0,1,0,1.000,0,0,0,-
고우석,LG,투수,61,0,60 2/3,2,0,4,8,2,0.857,0,0,0,-
김기연,LG,포수,12,1,24,0,0,12,0,0,1.000,0,0,0,-
김대유,LG,투수,59,0,39 2/3,0,0,3,0,0,1.0,0,0,0,-
김민성,LG,2루수,6,6,45,0,0,14,15,7,1.000,0,0,0,-
김민성,LG,3루수,79,25,313 1/3,3,0,19,46,3,0.956,0,0,0,-
김영준,LG,투수,2,2,9 2/3,0,0,0,0,0,-,0,0,0,-
김윤식,LG,투수,23,23,114 1/3,2,1,4,24,1,0.933,0,0,0,-
김주완,LG,투수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
김진성,LG,투수,67,0,58,0,0,0,10,0,1.0,0,0,0,-
김현수,LG,좌익수,96,94,802 1/3,2,0,172,4,1,0.989,0,0,0,-
김호은,LG,1루수,1,0,3,0,0,2,0,1,1.000,0,0,0,-
루이즈,LG,3루수,22,20,174,2,0,19,31,3,0.962,0,0,0,-
루이즈,LG,2루수,4,4,35,1,0,6,7,2,0.929,0,0,0,-
문보경,LG,1루수,68,19,257 2/3,2,0,238,20,26,0.992,0,0,0,-
문보경,LG,3루수,97,94,749,4,0,40,135,20,0.978,0,0,0,-
문성주,LG,우익수,32,26,242 1/3,0,0,53,2,0,1.0,0,0,0,-
문성주,LG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
문성주,LG,좌익수,28,23,213,0,0,71,2,0,1.0,0,0,0,-
박재욱,LG,포수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
박해민,LG,중견수,144,142,1205,2,0,355,3,0,0.994,0,0,0,-
박해민,LG,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
배재준,LG,투수,17,5,31 1/3,0,1,1,4,0,1.000,0,0,0,-
백승현,LG,투수,12,0,10,0,0,2,3,0,1.000,0,0,0,-
서건창,LG,2루수,63,54,474,4,0,98,154,41,0.984,0,0,0,-
손주영,LG,투수,3,3,12 2/3,0,0,0,1,0,1.000,0,0,0,-
손호영,LG,3루수,3,0,6,0,0,0,2,0,1.000,0,0,0,-
손호영,LG,1루수,2,0,4,0,0,5,1,0,1.000,0,0,0,-
손호영,LG,유격수,13,3,37,0,0,6,15,2,1.000,0,0,0,-
손호영,LG,2루수,20,19,146,5,0,35,41,14,0.938,0,0,0,-
송승기,LG,투수,7,0,8 1/3,0,0,0,3,0,1.000,0,0,0,-
송은범,LG,투수,25,0,26 2/3,0,0,1,3,0,1.0,0,0,0,-
송찬의,LG,우익수,6,4,34,0,0,10,0,0,1.000,0,0,0,-
송찬의,LG,1루수,8,1,24,0,0,22,2,6,1.000,0,0,0,-
송찬의,LG,2루수,16,13,105,4,0,34,38,10,0.947,0,0,0,-
신민재,LG,좌익수,3,0,4 1/3,0,0,1,0,0,1.000,0,0,0,-
신민재,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-
신민재,LG,중견수,4,0,8,0,0,4,0,0,1.000,0,0,0,-
안익훈,LG,중견수,4,0,8,0,0,3,0,0,1.000,0,0,0,-
안익훈,LG,우익수,7,0,11,0,0,3,0,0,1.000,0,0,0,-
안익훈,LG,좌익수,3,0,6,0,0,1,0,0,1.000,0,0,0,-
오석주,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-
오지환,LG,유격수,142,137,1167,16,0,210,359,83,0.973,0,0,0,-
유강남,LG,포수,134,115,1008 1/3,7,1,821,71,8,0.992,4,91,19,17.3
이민호,LG,투수,26,26,119 1/3,2,0,5,11,2,0.889,0,0,0,-
이상호,LG,3루수,5,2,18 1/3,1,0,3,7,1,0.909,0,0,0,-
이상호,LG,2루수,32,8,123,2,0,27,43,8,0.972,0,0,0,-
이상호,LG,유격수,9,0,16,1,0,4,8,3,0.923,0,0,0,-
이상호,LG,1루수,16,1,31 1/3,0,0,23,1,4,1.000,0,0,0,-
이영빈,LG,우익수,1,0,1,0,0,2,0,0,1.000,0,0,0,-
이영빈,LG,1루수,6,2,20,0,0,19,0,2,1.000,0,0,0,-
이영빈,LG,2루수,15,6,62,1,0,17,22,5,0.975,0,0,0,-
이영빈,LG,유격수,23,3,62,1,0,11,24,4,0.972,0,0,0,-
이우찬,LG,투수,36,0,44 2/3,0,0,2,7,0,1.0,0,0,0,-
이재원,LG,좌익수,32,22,204 2/3,0,0,36,1,0,1.0,0,0,0,-
이재원,LG,우익수,18,13,99 1/3,1,0,24,0,0,0.960,0,0,0,-
이재원,LG,중견수,3,0,6,0,0,4,1,1,1.000,0,0,0,-
이정용,LG,투수,65,0,59 1/3,1,0,1,7,0,0.889,0,0,0,-
이지강,LG,투수,4,1,11,0,0,0,0,0,-,0,0,0,-
이천웅,LG,좌익수,6,1,19,0,0,1,0,0,1.000,0,0,0,-
이천웅,LG,중견수,3,0,5,0,0,3,0,0,1.000,0,0,0,-
이형종,LG,1루수,3,1,12,0,0,11,0,0,1.000,0,0,0,-
이형종,LG,우익수,5,2,22 2/3,0,0,7,1,1,1.000,0,0,0,-
임준형,LG,투수,10,5,30,2,0,0,6,1,0.750,0,0,0,-
임찬규,LG,투수,23,23,103 2/3,2,1,2,16,1,0.900,0,0,0,-
정우영,LG,투수,67,0,58,0,0,0,17,3,1.0,0,0,0,-
조원태,LG,투수,2,0,4,0,0,0,0,0,-,0,0,0,-
진해수,LG,투수,64,0,45,0,0,3,6,0,1.0,0,0,0,-
채원후,LG,투수,3,0,3,0,0,0,2,1,1.000,0,0,0,-
