player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
52125,가르시아,LG,39,5,4,1,80.0,2,2
67119,고우석,LG,4,0,0,0,-,0,0
66112,김기연,LG,12,0,0,0,-,0,0
77564,김민성,LG,92,1,0,1,0.0,0,0
75867,김진성,LG,2,0,0,0,-,0,0
76290,김현수,LG,141,3,2,1,66.7,2,0
66113,김호은,LG,2,0,0,0,-,0,0
52112,루이즈,LG,27,1,1,0,100,0,0
69102,문보경,LG,126,7,7,0,100,5,2
68119,문성주,LG,106,15,9,6,60.0,6,1
72133,박용택,LG,1,0,0,0,-,0,0
64100,박재욱,LG,1,0,0,0,-,0,0
62415,박해민,LG,144,30,24,6,80.0,8,1
63145,배재준,LG,1,0,0,0,-,0,0
65109,백승현,LG,1,0,0,0,-,0,0
78168,서건창,LG,77,11,8,3,72.7,2,0
50150,손호영,LG,36,3,0,3,0.0,1,0
51111,송승기,LG,1,0,0,0,-,0,0
73801,송은범,LG,2,0,0,0,-,0,0
68110,송찬의,LG,33,3,2,1,66.7,2,0
65207,신민재,LG,14,4,2,2,50.0,0,0
65115,안익훈,LG,14,0,0,0,-,0,0
79109,오지환,LG,142,27,20,7,74.1,5,2
61102,유강남,LG,139,0,0,0,-,5,1
60566,이상호,LG,60,3,1,2,33.3,0,0
51100,이영빈,LG,60,0,0,0,-,0,0
68106,이재원,LG,85,4,3,1,75.0,4,1
61186,이천웅,LG,19,0,0,0,-,0,0
78135,이형종,LG,26,0,0,0,-,0,0
69159,정우영,LG,1,0,0,0,-,0,0
76650,진해수,LG,1,0,0,0,-,0,0
65241,채원후,LG,1,0,0,0,-,0,0
79192,채은성,LG,126,13,6,7,46.2,3,0
79140,최동환,LG,4,0,0,0,-,0,0
65157,최민창,LG,4,0,0,0,-,0,0
62146,최성훈,LG,2,0,0,0,-,0,0
64101,한석현,LG,6,1,0,1,0.0,0,0
63248,함덕주,LG,1,0,0,0,-,0,0
77243,허도환,LG,64,0,0,0,-,0,0
52119,허준혁,LG,1,0,0,0,-,0,0
66108,홍창기,LG,118,17,13,4,76.5,1,0
