player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
79358,강윤구,롯데,5.48,29,0,0,0,0,-,21 1/3,25,0,6,1,27,17,13,1.45
63543,구승민,롯데,2.9,73,2,4,0,26,0.333,62,46,3,35,1,77,20,20,1.31
78536,김대우,롯데,4.5,10,0,0,0,1,-,10,6,0,8,0,8,5,5,1.4
68585,김도규,롯데,3.71,55,4,4,3,8,0.500,51,48,2,19,4,45,26,21,1.31
50573,김민기,롯데,67.5,1,0,0,0,0,-,2/3,6,1,1,0,0,5,5,10.5
62528,김원중,롯데,3.98,43,2,3,17,2,0.400,43,40,4,16,0,60,21,19,1.3
64596,김유영,롯데,5.65,68,6,2,0,13,0.750,51,73,4,30,3,44,34,32,2.02
51516,김진욱,롯데,6.36,14,2,5,0,0,0.286,46 2/3,43,3,35,8,52,36,33,1.67
51586,김창훈,롯데,5.4,1,0,0,0,0,-,1 2/3,3,0,0,0,2,1,1,1.8
67539,나균안,롯데,3.98,39,3,8,0,2,0.273,117 2/3,125,5,37,3,123,55,52,1.38
67454,나원탁,롯데,9.0,7,0,0,0,0,-,6,9,1,5,2,8,7,6,2.33
65643,문경찬,롯데,5.8,38,1,2,0,1,0.333,40 1/3,51,7,13,1,31,27,26,1.59
64021,박세웅,롯데,3.89,28,10,11,0,0,0.476,157 1/3,179,8,32,8,146,80,68,1.34
52528,반즈,롯데,3.62,31,12,12,0,0,0.5,186 1/3,176,8,47,18,160,87,75,1.2
52528,반즈,롯데,3.62,31,12,12,0,0,0.500,186 1/3,176,8,47,18,160,87,75,1.2
69539,서준원,롯데,4.8,33,3,3,0,2,0.500,60,65,3,23,5,45,32,32,1.47
50558,스트레일리,롯데,2.31,11,4,2,0,0,0.667,62 1/3,54,5,22,6,55,24,16,1.22
52557,스파크맨,롯데,5.31,19,2,4,0,0,0.333,84 2/3,97,6,43,4,89,55,50,1.65
50036,이강준,롯데,10.24,13,0,0,0,1,-,9 2/3,9,1,20,0,6,11,11,3.0
71564,이대호,롯데,0.0,1,0,0,0,1,-,1/3,0,0,0,0,0,0,0,0.0
52530,이민석,롯데,5.88,27,1,1,0,5,0.500,33 2/3,43,4,19,2,37,27,22,1.84
68529,이승헌,롯데,54.0,1,0,1,0,0,0.000,2/3,3,0,3,0,1,4,4,9.0
64565,이인복,롯데,4.19,26,9,9,0,1,0.500,126 2/3,153,6,30,4,71,63,59,1.44
68556,정성종,롯데,4.15,5,0,0,0,0,-,4 1/3,4,0,4,0,5,4,2,1.85
65067,조무근,롯데,4.5,2,0,0,0,0,-,2,2,0,1,0,1,1,1,1.5
79545,진명호,롯데,6.06,16,0,0,0,0,-,16 1/3,23,1,9,2,11,12,11,1.96
52558,진승현,롯데,9.0,10,0,0,0,0,-,9,12,2,7,1,11,9,9,2.11
64718,최설우,롯데,20.25,1,0,1,0,0,0.000,2 2/3,8,0,1,1,1,6,6,3.38
68036,최이준,롯데,23.14,5,0,0,0,0,-,2 1/3,7,0,6,0,3,8,6,5.57
50556,최준용,롯데,4.06,68,3,4,14,6,0.429,71,63,10,20,6,80,35,32,1.17
