player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
63963,권희동,NC,0.227,82,280,238,30,54,5,1,5,76,22,2,1
65462,김기환,NC,0.221,73,131,113,26,25,5,1,0,32,6,2,1
67900,김수윤,NC,0.118,10,18,17,1,2,1,0,1,6,2,0,0
60288,김응민,NC,0.134,34,75,67,7,9,1,0,1,13,5,2,1
51907,김주원,NC,0.223,96,326,273,35,61,9,3,10,106,47,9,0
67954,김진호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
50992,김태경,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
50902,김한별,NC,0.095,24,23,21,0,2,0,0,0,2,0,2,0
62931,노진혁,NC,0.28,115,451,396,50,111,24,0,15,180,75,3,5
62931,노진혁,NC,0.280,115,451,396,50,111,24,0,15,180,75,3,5
66965,도태훈,NC,0.216,91,163,139,18,30,7,0,2,43,13,7,3
65949,류진욱,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
52904,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7
79215,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3
64944,박대온,NC,0.181,59,133,127,8,23,4,0,1,30,10,3,1
62907,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3
74465,박석민,NC,0.149,16,58,47,3,7,2,0,0,9,2,1,0
66928,박준영,NC,0.216,75,240,208,27,45,8,1,4,67,19,3,1
69995,서호철,NC,0.205,89,214,195,26,40,8,0,2,54,14,3,0
77532,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6
76232,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10
68904,오영수,NC,0.238,83,259,231,25,55,10,0,6,83,31,0,3
51996,오태양,NC,0.000,15,4,3,5,0,0,0,0,0,0,0,0
76118,원종현,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
63905,윤형준,NC,0.209,35,69,67,5,14,1,0,1,18,5,0,0
76849,이명기,NC,0.260,94,341,300,36,78,13,2,0,95,23,6,2
51948,이용준,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
77211,이용찬,NC,-,4,0,0,0,0,0,0,0,0,0,0,0
67993,이재용,NC,0.200,8,6,5,1,1,0,0,1,4,2,0,0
78361,전민수,NC,0.275,20,41,40,3,11,2,0,0,13,2,0,0
76720,정범모,NC,0.143,5,7,7,0,1,0,0,0,1,1,0,0
61869,정진기,NC,0.189,39,59,53,4,10,2,0,1,15,4,0,0
67905,천재환,NC,0.143,29,36,35,4,5,1,0,1,9,1,0,0
65905,최승민,NC,0.324,44,34,34,19,11,0,0,0,11,3,0,0
68639,하준영,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
51994,한재승,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
