선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강민호,삼성,130,0,0,0,-,4,0
강한울,삼성,94,6,4,2,66.7,0,0
공민규,삼성,15,0,0,0,-,0,0
구자욱,삼성,99,12,11,1,91.7,4,1
김동엽,삼성,30,3,0,3,0.0,0,0
김동진,삼성,5,0,0,0,-,1,0
김상수,삼성,72,3,2,1,66.7,3,0
김서준,삼성,1,0,0,0,-,0,0
김성윤,삼성,48,12,10,2,83.3,1,1
김성표,삼성,17,2,2,0,100,1,0
김영웅,삼성,13,0,0,0,-,0,0
김재성,삼성,63,0,0,0,-,4,0
김재혁,삼성,15,4,4,0,100,0,1
김지찬,삼성,113,29,25,4,86.2,3,0
김태군,삼성,102,0,0,0,-,2,0
김헌곤,삼성,80,4,3,1,75.0,3,0
김현준,삼성,118,9,6,3,66.7,6,0
김호재,삼성,21,0,0,0,-,0,0
박승규,삼성,62,2,2,0,100,0,1
박주혁,삼성,2,0,0,0,-,0,0
송준석,삼성,17,0,0,0,-,0,0
안주형,삼성,18,0,0,0,-,0,0
오선진,삼성,100,4,2,2,50.0,1,0
오승환,삼성,3,0,0,0,-,0,0
오재일,삼성,135,3,2,1,66.7,4,0
우규민,삼성,1,0,0,0,-,0,0
윤정빈,삼성,13,0,0,0,-,0,0
이병헌,삼성,3,0,0,0,-,0,0
이상민,삼성,1,0,0,0,-,0,0
이성규,삼성,13,0,0,0,-,0,0
이원석,삼성,88,0,0,0,-,5,0
이재현,삼성,75,0,0,0,-,2,0
이태훈,삼성,10,0,0,0,-,0,0
이해승,삼성,46,0,0,0,-,0,0
조민성,삼성,12,1,1,0,100,1,0
최영진,삼성,43,4,2,2,50.0,0,0
피렐라,삼성,141,20,15,5,75.0,5,2
홍정우,삼성,2,0,0,0,-,0,0
