player_id,Name,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
74540,강민호,9.90%,13.10%,0.75,0.366,0.445,0.811,0.154,3.2,0.307,0.4,73,14.9,0.375,125
68050,강백호,11.40%,20.30%,0.56,0.347,0.416,0.763,0.151,4.1,0.311,0.4,35,3.2,0.352,110
63123,강승호,5.90%,24.00%,0.25,0.316,0.387,0.703,0.122,6.5,0.341,-0.1,51,-2.7,0.329,95
64610,강한울,8.30%,22.50%,0.37,0.282,0.269,0.551,0.052,4.7,0.288,-1.2,15,-13.1,0.265,54
69517,고승민,13.60%,20.80%,0.66,0.331,0.318,0.649,0.094,5.6,0.285,0.1,30,-6,0.311,83
61353,고종욱,4.90%,20.30%,0.24,0.329,0.393,0.721,0.096,2.7,0.365,-0.7,34,0.1,0.337,100
53506,구드럼,11.40%,22.90%,0.5,0.373,0.387,0.76,0.092,1.9,0.389,-0.2,27,3.3,0.357,114
62404,구자욱,10.30%,15.70%,0.65,0.407,0.494,0.902,0.159,4.1,0.387,0.3,93,31.9,0.417,153
63963,권희동,13.10%,13.40%,0.98,0.388,0.405,0.792,0.12,2.5,0.315,0.2,55,11.5,0.376,126
52605,김도영,9.90%,16.10%,0.61,0.371,0.453,0.824,0.15,8.3,0.349,3,59,13.2,0.381,129
53344,김동헌,7.00%,22.70%,0.31,0.318,0.308,0.626,0.066,2.9,0.312,-0.2,22,-6.1,0.303,78
53554,김민석,6.80%,24.70%,0.28,0.314,0.338,0.652,0.083,5.1,0.341,1.6,44,-9.5,0.309,82
77564,김민성,7.90%,18.40%,0.43,0.327,0.379,0.705,0.129,2.7,0.288,-0.3,37,-0.5,0.334,99
62864,김민식,9.70%,17.90%,0.54,0.302,0.316,0.618,0.098,2,0.257,-0.2,28,-9.7,0.296,74
64004,김민혁,8.00%,10.70%,0.75,0.356,0.385,0.741,0.088,5.8,0.328,0.1,57,4.6,0.35,109
79402,김상수,10.70%,13.30%,0.81,0.353,0.339,0.692,0.068,3.1,0.312,-2,59,-0.9,0.334,98
78603,김선빈,8.00%,5.50%,1.46,0.381,0.358,0.739,0.038,2.3,0.338,-0.3,62,6.7,0.355,112
62934,김성욱,7.80%,30.90%,0.25,0.303,0.38,0.683,0.156,5.4,0.306,0.6,22,-2.2,0.322,91
67449,김성윤,5.10%,12.90%,0.4,0.354,0.404,0.759,0.09,8.4,0.352,2.1,36,3.5,0.353,111
76802,김성현,8.20%,10.20%,0.81,0.328,0.323,0.651,0.055,3.3,0.298,0.1,35,-6.8,0.311,84
66715,김인환,9.60%,24.90%,0.38,0.301,0.338,0.64,0.114,2.1,0.287,-0.1,33,-9.5,0.302,78
74206,김재호,9.90%,7.90%,1.25,0.376,0.372,0.749,0.089,3.7,0.302,0.5,40,4.9,0.357,114
78224,김재환,14.90%,20.70%,0.72,0.343,0.331,0.674,0.111,2.3,0.266,0,53,-3.8,0.326,93
51907,김주원,9.30%,22.40%,0.42,0.328,0.34,0.668,0.107,5.7,0.289,1.4,50,-5.4,0.322,90
63920,김준완,11.60%,25.30%,0.46,0.315,0.259,0.574,0.037,1.8,0.311,-0.2,18,-8.8,0.285,67
50458,김지찬,13.50%,10.10%,1.33,0.408,0.33,0.738,0.038,6.4,0.331,1.8,50,7.9,0.365,119
78122,김태군,4.40%,8.20%,0.54,0.305,0.308,0.614,0.049,2.7,0.279,-0.3,29,-11.6,0.292,71
66704,김태연,9.60%,21.10%,0.46,0.337,0.363,0.7,0.102,3.4,0.323,0.4,32,-1.1,0.331,97
64984,김태진,2.40%,11.00%,0.22,0.295,0.303,0.598,0.025,1.3,0.309,-0.2,16,-8.7,0.282,65
76290,김현수,10.50%,9.60%,1.09,0.365,0.384,0.749,0.091,2.6,0.314,-0.5,72,6.5,0.352,110
51417,김현준,6.30%,17.50%,0.36,0.327,0.346,0.673,0.072,5.3,0.332,-1.5,50,-6.1,0.32,89
67304,김혜성,9.20%,12.30%,0.75,0.397,0.447,0.845,0.112,6.8,0.376,3.1,100,27,0.393,137
51344,김휘집,11.00%,22.30%,0.49,0.338,0.374,0.712,0.125,1.3,0.31,-0.3,52,0.4,0.337,101
62947,나성범,10.30%,14.20%,0.72,0.427,0.671,1.098,0.306,2.8,0.366,-0.2,60,29.8,0.49,200
69737,노시환,12.40%,19.80%,0.63,0.388,0.541,0.929,0.243,2.6,0.332,-0.5,109,39.2,0.422,156
62931,노진혁,11.50%,21.50%,0.54,0.347,0.377,0.724,0.12,4.6,0.328,0.7,48,2,0.343,104
53327,도슨,6.90%,15.70%,0.44,0.398,0.454,0.853,0.118,6.2,0.389,0.7,43,12.2,0.397,140
66965,도태훈,12.60%,15.90%,0.79,0.376,0.322,0.698,0.088,3.3,0.273,-0.3,38,2.4,0.347,107
50350,러셀,7.20%,16.60%,0.44,0.34,0.403,0.743,0.116,2.8,0.333,0,30,1.9,0.347,107
52547,렉스,12.00%,23.10%,0.52,0.338,0.345,0.682,0.099,2.9,0.313,-0.6,25,-2.2,0.324,92
53211,로하스,11.90%,14.70%,0.81,0.345,0.474,0.819,0.221,2.7,0.26,-0.8,69,14,0.375,126
62234,류지혁,8.80%,14.00%,0.63,0.34,0.31,0.65,0.042,5.8,0.312,3.5,53,-8.7,0.315,86
53955,마틴,11.30%,21.30%,0.53,0.36,0.455,0.815,0.172,4.8,0.33,1.3,74,14.9,0.375,125
69102,문보경,10.80%,15.20%,0.71,0.378,0.449,0.828,0.148,5.1,0.345,-2,83,19.9,0.384,131
64007,문상철,4.80%,24.50%,0.2,0.298,0.414,0.712,0.155,2.7,0.318,0,36,-2.7,0.326,93
68119,문성주,12.50%,6.20%,2,0.393,0.374,0.768,0.078,5.8,0.313,-1.2,76,13.4,0.369,121
53764,문현빈,6.90%,17.50%,0.39,0.324,0.362,0.686,0.096,4.2,0.317,0.2,51,-5.1,0.322,91
79215,박건우,10.50%,13.30%,0.79,0.397,0.48,0.877,0.162,3.7,0.349,-1.2,91,28.4,0.406,145
73113,박경수,13.60%,20.80%,0.65,0.315,0.286,0.601,0.086,0.6,0.261,-0.2,19,-6.9,0.296,73
79365,박동원,10.30%,18.90%,0.54,0.337,0.447,0.784,0.195,1.8,0.271,-0.8,65,8.6,0.36,115
62907,박민우,7.90%,11.20%,0.7,0.381,0.405,0.786,0.088,7.3,0.356,2.2,73,12.9,0.369,121
75125,박병호,9.30%,23.10%,0.4,0.357,0.443,0.8,0.16,2.1,0.339,0,71,12.9,0.37,122
67893,박성한,11.00%,10.60%,1.04,0.347,0.366,0.713,0.1,2.8,0.284,0.1,63,1.2,0.339,102
62244,박세혁,10.60%,15.20%,0.7,0.307,0.347,0.654,0.136,4.5,0.232,-0.4,28,-5.2,0.313,85
62802,박승욱,10.40%,25.70%,0.4,0.364,0.369,0.733,0.083,6.3,0.407,1,43,3.5,0.35,109
64646,박찬호,7.90%,11.00%,0.71,0.356,0.378,0.734,0.077,6.6,0.333,2.2,64,4.1,0.347,107
62415,박해민,8.10%,13.30%,0.61,0.35,0.36,0.71,0.075,5.7,0.327,-0.3,67,1.1,0.339,102
64166,배정대,10.50%,21.10%,0.5,0.356,0.347,0.703,0.071,4.8,0.353,1,43,0,0.336,100
69727,변우혁,10.20%,32.70%,0.31,0.314,0.35,0.664,0.125,1.2,0.319,-0.2,23,-3.4,0.317,87
69995,서호철,4.60%,11.70%,0.39,0.329,0.38,0.709,0.096,4,0.313,-1.6,50,-1.2,0.333,98
52630,소크라테스,8.60%,13.20%,0.65,0.344,0.463,0.806,0.177,5.3,0.299,0,87,14.9,0.368,121
77532,손아섭,8.20%,11.00%,0.75,0.392,0.44,0.832,0.102,5.5,0.375,1,96,24.3,0.388,134
65357,송성문,8.90%,8.70%,1.03,0.325,0.358,0.683,0.095,3.3,0.276,-0.1,45,-6.4,0.317,88
65207,신민재,8.80%,10.30%,0.85,0.344,0.309,0.652,0.032,7.2,0.312,-0.4,34,-5,0.317,87
50202,안권수,9.70%,12.90%,0.75,0.341,0.321,0.662,0.052,5.6,0.306,-0.2,32,-4.2,0.318,88
79608,안치홍,9.90%,10.70%,0.92,0.374,0.4,0.774,0.108,2.8,0.314,-1.1,69,10.8,0.365,119
52009,알포드,8.60%,25.60%,0.34,0.356,0.456,0.813,0.167,6.2,0.375,1.7,81,16.8,0.376,126
64153,양석환,7.00%,22.90%,0.31,0.332,0.452,0.784,0.174,3.1,0.328,0.4,78,9.7,0.358,114
76232,양의지,11.20%,11.00%,1.02,0.396,0.474,0.87,0.169,3.2,0.317,0.9,85,25.2,0.401,142
53827,에레디아,7.40%,14.30%,0.52,0.384,0.46,0.844,0.137,3.7,0.363,-1.4,84,22.4,0.392,136
53123,오스틴,9.20%,13.00%,0.71,0.377,0.516,0.892,0.202,4.5,0.327,-0.3,99,31.3,0.407,146
68904,오영수,7.10%,23.10%,0.31,0.305,0.346,0.651,0.111,3.7,0.296,-0.8,23,-5.4,0.307,81
64504,오윤석,5.80%,19.70%,0.3,0.313,0.387,0.7,0.136,4.7,0.305,0,25,-1.5,0.327,94
75334,오재일,11.80%,30.20%,0.39,0.302,0.356,0.658,0.152,1.8,0.269,0,36,-6.8,0.312,84
79109,오지환,12.70%,16.50%,0.77,0.37,0.394,0.764,0.126,5.3,0.312,-0.4,69,10.5,0.364,118
60558,오태곤,5.90%,22.00%,0.27,0.293,0.375,0.668,0.136,7.1,0.289,3.4,30,-5.8,0.312,84
53716,윌리엄스,2.90%,23.10%,0.13,0.275,0.403,0.678,0.159,2.4,0.286,-0.4,27,-5.3,0.311,84
61102,유강남,9.20%,15.90%,0.58,0.342,0.384,0.725,0.122,2,0.291,-0.6,49,2,0.343,104
52591,윤동희,6.60%,16.30%,0.41,0.333,0.354,0.687,0.067,2.8,0.34,-2.3,46,-3.8,0.325,92
63905,윤형준,4.20%,24.60%,0.17,0.291,0.385,0.676,0.133,2.7,0.316,-0.4,24,-4.2,0.313,85
65703,이도윤,5.20%,15.90%,0.33,0.302,0.317,0.619,0.065,5.6,0.304,0.5,30,-11.1,0.294,73
63260,이우성,7.80%,20.30%,0.38,0.363,0.417,0.78,0.115,3.5,0.368,0.8,55,8,0.362,117
75566,이원석,9.90%,19.40%,0.51,0.326,0.298,0.624,0.052,0.9,0.307,-0.7,32,-8.8,0.303,78
67207,이유찬,8.40%,21.30%,0.39,0.316,0.31,0.626,0.067,7,0.314,1,22,-6.2,0.302,78
52415,이재현,9.70%,16.50%,0.58,0.33,0.378,0.707,0.129,3.7,0.281,-0.7,62,-0.9,0.334,99
67341,이정후,12.70%,5.90%,2.13,0.406,0.455,0.86,0.136,4.1,0.324,-0.4,63,17.7,0.396,139
50167,이주형,7.80%,21.80%,0.36,0.39,0.507,0.897,0.181,5.8,0.405,0,42,13.7,0.41,148
