player_id,Name,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
64001,고영표,5.87,0.98,6,0.36,16.10%,2.70%,13.50%,0.267,1.15,0.312,76.30%,2.78,3.1,-0.31
72523,고효준,10.24,6.52,1.57,0.47,25.20%,16.00%,9.20%,0.226,1.57,0.311,70.20%,4.5,4.12,0.38
68220,곽빈,7.49,4.1,1.83,0.49,20.20%,11.00%,9.10%,0.207,1.21,0.254,77.10%,2.9,3.93,-1.04
63543,구승민,9.33,4.1,2.28,0.57,22.80%,10.00%,12.80%,0.255,1.48,0.33,71.70%,3.96,3.75,0.21
65933,구창모,9.75,2.79,3.5,0.7,27.30%,7.80%,19.50%,0.201,1.05,0.264,72.30%,2.96,3.17,-0.21
77829,김광현,6.36,3.74,1.7,0.59,16.70%,9.80%,6.90%,0.254,1.38,0.297,72.90%,3.53,4.12,-0.59
51715,김기중,7.35,4.63,1.59,0.64,18.20%,11.50%,6.70%,0.27,1.54,0.327,69.70%,4.63,4.71,-0.08
62360,김대우,6.89,3.09,2.23,0.98,17.70%,7.90%,9.70%,0.262,1.38,0.301,66.50%,4.5,4.46,0.04
51230,김동주,6.78,4.02,1.69,0.57,17.70%,10.50%,7.20%,0.247,1.38,0.294,71.40%,4.14,4.22,-0.08
67246,김명신,7.41,3.08,2.41,0.34,19.50%,8.10%,11.40%,0.239,1.25,0.296,70.40%,3.65,3.5,0.14
65764,김민우,7.49,4.88,1.54,1.05,17.70%,11.50%,6.20%,0.3,1.78,0.354,59.60%,6.79,4.99,1.81
65769,김범수,7.51,4.76,1.58,0.43,18.40%,11.70%,6.70%,0.259,1.56,0.318,69.90%,4.19,4.09,0.1
76430,김상수,6.23,3.63,1.71,0.17,16.50%,9.60%,6.90%,0.232,1.27,0.28,69.50%,3.12,3.65,-0.54
68928,김시훈,8.37,5.81,1.44,0.51,20.00%,13.90%,6.10%,0.271,1.73,0.342,69.50%,4.27,4.27,0
68900,김영규,7.01,3.36,2.09,0.29,19.40%,9.30%,10.10%,0.202,1.1,0.249,71.00%,3.06,3.43,-0.37
62528,김원중,11.59,3.53,3.28,0.28,30.90%,9.40%,21.50%,0.217,1.19,0.325,72.90%,2.97,2.65,0.32
50157,김윤식,5.06,3.01,1.68,0.48,13.10%,7.80%,5.30%,0.295,1.49,0.333,72.90%,4.22,4.1,0.12
67391,김재웅,6.94,3.62,1.92,0.3,18.40%,9.60%,8.80%,0.248,1.34,0.303,66.10%,4.22,3.5,0.72
65062,김재윤,8.22,1.78,4.62,0.27,22.90%,5.00%,17.90%,0.218,1.02,0.28,72.10%,2.6,2.61,0
75867,김진성,8.83,3.33,2.65,1.02,25.60%,9.60%,15.90%,0.168,0.95,0.198,89.60%,2.18,4.03,-1.85
62360,김태훈,5.68,6.11,0.93,1.14,13.10%,14.10%,-1.00%,0.285,1.85,0.311,60.70%,7.11,5.96,1.15
67539,나균안,7.87,2.9,2.71,0.55,20.00%,7.40%,12.70%,0.268,1.4,0.33,71.70%,3.8,3.53,0.27
73211,노경은,7.05,3.9,1.81,0.43,18.20%,10.10%,8.10%,0.246,1.37,0.298,75.60%,3.58,3.91,-0.33
65949,류진욱,8.33,4.3,1.94,0.13,23.10%,11.90%,11.20%,0.174,1.09,0.233,75.80%,2.15,3.22,-1.07
53833,맥카티,8.03,3.12,2.58,0.69,21.40%,8.30%,13.10%,0.249,1.3,0.307,71.80%,3.39,3.68,-0.29
53322,맥키니,5.92,5.46,1.08,1.52,14.60%,13.40%,1.10%,0.264,1.63,0.28,61.90%,6.52,6.15,0.37
53645,메디나,5.59,4.5,1.24,0.93,13.40%,10.80%,2.60%,0.277,1.6,0.307,64.10%,6.05,5.47,0.58
52701,문동주,7.21,3.19,2.26,0.46,18.90%,8.30%,10.50%,0.247,1.31,0.301,71.00%,3.72,3.62,0.1
62869,문승원,5.57,3,1.86,1.03,13.60%,7.30%,6.30%,0.315,1.65,0.349,69.10%,5.23,4.82,0.41
53139,박명근,7.01,4.91,1.43,0.7,16.90%,11.90%,5.10%,0.243,1.5,0.285,67.20%,5.08,4.84,0.24
67703,박상원,8.32,4.23,1.97,0.29,20.60%,10.50%,10.10%,0.257,1.49,0.328,65.10%,3.65,3.53,0.12
64021,박세웅,7.54,3.45,2.19,0.47,19.60%,9.00%,10.70%,0.244,1.32,0.3,70.10%,3.45,3.63,-0.18
52060,박영현,9.44,2.75,3.43,0.36,25.60%,7.50%,18.20%,0.223,1.14,0.299,75.20%,2.75,2.82,-0.07
60841,박종훈,6.3,6.75,0.93,0.9,14.70%,15.70%,-1.00%,0.254,1.71,0.289,68.40%,6.19,6.26,-0.08
67266,박치국,8.2,3.59,2.29,0.51,20.30%,8.90%,11.40%,0.257,1.42,0.321,76.50%,3.59,3.8,-0.21
52528,반즈,7.77,2.96,2.63,0.32,20.00%,7.60%,12.40%,0.258,1.33,0.324,74.50%,3.28,3.38,-0.11
65516,배제성,5.46,5.32,1.03,0.41,13.30%,12.90%,0.30%,0.279,1.7,0.319,70.40%,4.49,4.61,-0.12
77446,백정현,5.45,2.68,2.03,0.54,14.60%,7.20%,7.40%,0.257,1.29,0.292,70.70%,3.67,3.86,-0.19
52043,벤자민,8.79,2.48,3.55,0.68,22.90%,6.50%,16.40%,0.235,1.21,0.293,65.30%,3.55,3.31,0.24
50404,뷰캐넌,6.65,2.06,3.23,0.19,17.70%,5.50%,12.20%,0.237,1.15,0.287,69.90%,2.54,2.98,-0.44
52257,브랜든,8.6,2.58,3.33,0.34,23.40%,7.00%,16.40%,0.208,1.05,0.27,75.60%,2.49,3.19,-0.7
53665,산체스,8.34,2.12,3.93,0.99,20.70%,5.30%,15.40%,0.297,1.48,0.36,59.00%,5.94,3.87,2.07
53714,산체스,7.07,2,3.54,0.93,18.30%,5.20%,13.10%,0.269,1.3,0.312,71.10%,3.79,3.98,-0.19
61895,서진용,7.89,6.04,1.31,0.37,19.70%,15.10%,4.60%,0.228,1.52,0.288,83.90%,2.47,4.36,-1.89
69041,손동현,4.89,2.57,1.9,0.61,13.20%,7.00%,6.30%,0.244,1.21,0.269,71.40%,3.42,4.13,-0.71
69962,송명기,5.61,4.05,1.38,1.04,13.70%,9.90%,3.80%,0.255,1.47,0.277,67.90%,4.83,5.32,-0.49
52457,수아레즈,7.33,2.67,2.75,0.25,18.40%,6.70%,11.70%,0.29,1.49,0.356,68.60%,3.92,3.08,0.84
50558,스트레일리,7.84,4.15,1.89,0.67,19.20%,10.20%,9.10%,0.259,1.48,0.315,71.30%,4.37,4.38,-0.01
68902,신민혁,7.16,1.84,3.88,1.03,18.70%,4.80%,13.90%,0.25,1.2,0.286,67.50%,3.98,4.06,-0.08
68341,안우진,9.8,2.27,4.32,0.3,27.00%,6.30%,20.70%,0.213,1.06,0.29,75.80%,2.39,2.43,-0.04
69045,알칸타라,7.59,1.64,4.63,0.75,20.80%,4.50%,16.30%,0.232,1.07,0.277,76.40%,2.67,3.42,-0.75
53664,앤더슨,7.29,2.96,2.46,0.68,19.00%,7.70%,11.30%,0.247,1.29,0.294,64.90%,3.76,3.83,-0.07
