선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강승호,두산,2루수,93,85,724,13,0,187,210,37,0.968,0,0,0,-
강승호,두산,1루수,42,24,240 1/3,3,0,209,17,16,0.987,0,0,0,-
고봉재,두산,투수,10,0,11 1/3,0,0,3,1,0,1.000,0,0,0,-
곽빈,두산,투수,23,23,127 1/3,2,1,7,14,3,0.913,0,0,0,-
권민석,두산,2루수,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
권민석,두산,유격수,1,0,2 1/3,0,0,0,0,0,-,0,0,0,-
김강률,두산,투수,32,0,25 1/3,2,0,3,0,0,0.6,0,0,0,-
김대한,두산,우익수,30,21,183,3,0,33,1,1,0.919,0,0,0,-
김대한,두산,중견수,1,0,6,0,0,2,0,0,1.000,0,0,0,-
김동주,두산,투수,18,17,78 1/3,0,0,4,9,1,1.000,0,0,0,-
김명신,두산,투수,70,0,79,1,0,1,7,0,0.889,0,0,0,-
김민규,두산,투수,6,1,8 1/3,0,0,0,0,0,-,0,0,0,-
김민혁,두산,1루수,12,5,56,1,0,52,4,3,0.982,0,0,0,-
김유성,두산,투수,7,0,6 1/3,0,0,0,0,0,-,0,0,0,-
김인태,두산,우익수,20,15,126,1,0,28,0,0,0.966,0,0,0,-
김인태,두산,좌익수,10,6,58,0,0,17,0,0,1.000,0,0,0,-
김재호,두산,3루수,1,0,2,1,0,0,1,0,0.500,0,0,0,-
김재호,두산,유격수,86,71,611 1/3,9,0,119,166,43,0.969,0,0,0,-
김재환,두산,좌익수,58,55,440,1,0,114,3,0,0.992,0,0,0,-
김정우,두산,투수,7,0,6 2/3,0,0,0,0,0,-,0,0,0,-
김태근,두산,우익수,19,8,103 1/3,0,0,21,2,0,1.000,0,0,0,-
김태근,두산,중견수,6,1,15,1,0,7,0,0,0.875,0,0,0,-
김태근,두산,좌익수,13,2,36,3,0,6,0,0,0.667,0,0,0,-
김호준,두산,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
딜런,두산,투수,2,2,9,1,0,0,0,0,0.000,0,0,0,-
로하스,두산,좌익수,69,63,508,0,0,112,3,1,1.0,0,0,0,-
로하스,두산,우익수,31,30,230,2,0,47,1,0,0.96,0,0,0,-
박계범,두산,유격수,48,27,267 1/3,8,0,38,75,9,0.934,0,0,0,-
박계범,두산,3루수,8,3,30,0,0,1,6,0,1.000,0,0,0,-
박계범,두산,2루수,20,14,125,1,0,33,39,9,0.986,0,0,0,-
박신지,두산,투수,15,1,26,0,0,0,0,0,-,0,0,0,-
박유연,두산,포수,10,5,41 1/3,1,0,36,1,0,0.974,0,1,0,0.0
박정수,두산,투수,25,0,36 2/3,0,0,2,7,0,1.000,0,0,0,-
박준영,두산,3루수,29,19,178 2/3,2,0,17,32,2,0.961,0,0,0,-
박준영,두산,2루수,1,0,3,0,0,1,1,0,1.000,0,0,0,-
박준영,두산,유격수,20,13,114 1/3,2,0,21,44,8,0.970,0,0,0,-
박지훈,두산,1루수,12,3,41 2/3,0,0,36,1,3,1.000,0,0,0,-
박지훈,두산,3루수,3,1,6 1/3,0,0,0,1,0,1.000,0,0,0,-
박지훈,두산,유격수,2,0,4,0,0,0,0,0,-,0,0,0,-
박치국,두산,투수,62,0,53,0,0,2,3,0,1.0,0,0,0,-
백승우,두산,투수,6,0,4,0,0,0,0,0,-,0,0,0,-
브랜든,두산,투수,18,18,104 2/3,0,0,5,15,0,1.000,0,0,0,-
서예일,두산,3루수,2,0,8,0,0,2,0,0,1.000,0,0,0,-
서예일,두산,2루수,2,2,13,1,0,2,4,1,0.857,0,0,0,-
송승환,두산,좌익수,14,12,97,0,0,31,1,0,1.000,0,0,0,-
송승환,두산,우익수,8,6,44 1/3,0,0,9,0,0,1.000,0,0,0,-
