선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3
권민석,두산,0.000,1,2,2,0,0,0,0,0,0,0,0,0
김대한,두산,0.198,33,89,81,10,16,3,1,1,24,7,0,0
김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
김민혁,두산,0.138,21,36,29,2,4,1,0,0,5,3,0,2
김인태,두산,0.255,47,115,98,8,25,5,0,1,33,14,1,0
김재호,두산,0.283,91,302,247,32,70,13,0,3,92,29,15,2
김재환,두산,0.220,132,484,405,40,89,15,0,10,134,46,0,2
김정우,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
김태근,두산,0.212,41,55,52,9,11,3,0,0,14,3,2,0
로하스,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,3
박계범,두산,0.219,78,194,169,18,37,6,0,2,49,15,5,3
박신지,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
박유연,두산,0.267,10,16,15,3,4,2,0,0,6,1,1,0
박정수,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
박준영,두산,0.228,51,138,127,16,29,8,2,4,53,17,0,0
박지훈,두산,0.211,22,21,19,2,4,1,0,0,5,2,0,0
박치국,두산,-,1,0,0,0,0,0,0,0,0,0,0,0
서예일,두산,0.222,5,10,9,2,2,0,0,0,2,1,0,1
송승환,두산,0.229,30,76,70,10,16,3,1,0,21,4,2,0
신성현,두산,0.083,12,15,12,1,1,0,0,0,1,1,0,0
안승한,두산,0.208,22,27,24,1,5,0,0,0,5,1,0,0
안재석,두산,0.188,27,68,64,8,12,2,1,1,19,5,0,1
양석환,두산,0.281,140,582,524,73,147,28,0,21,238,89,0,11
양의지,두산,0.305,129,510,439,56,134,23,0,17,208,68,0,3
양찬열,두산,0.239,44,99,88,15,21,2,2,0,27,6,0,1
이유찬,두산,0.243,104,239,210,31,51,7,2,1,65,16,5,1
이형범,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
장승현,두산,0.158,76,158,139,11,22,1,0,3,32,9,5,0
전민재,두산,0.235,19,18,17,3,4,2,0,0,6,1,1,0
정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,12,2
정철원,두산,-,3,0,0,0,0,0,0,0,0,0,0,0
조수행,두산,0.219,126,249,219,41,48,2,1,1,55,17,4,1
최승용,두산,-,2,0,0,0,0,0,0,0,0,0,0,0
허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5
홍건희,두산,-,4,0,0,0,0,0,0,0,0,0,0,0
홍성호,두산,0.292,21,51,48,6,14,4,0,0,18,5,0,0
