선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강건,KT,투수,4,0,6 2/3,0,0,0,0,0,-,0,0,0,-
강민성,KT,3루수,10,7,57,2,0,4,14,0,0.9,0,0,0,-
강민성,KT,1루수,1,0,3,0,0,3,1,0,1.000,0,0,0,-
강백호,KT,1루수,6,6,51,0,0,43,6,6,1.000,0,0,0,-
강백호,KT,우익수,23,20,159,1,0,33,1,0,0.971,0,0,0,-
강현우,KT,1루수,1,0,1,1,0,1,0,0,0.500,0,0,0,-
강현우,KT,포수,46,24,235 1/3,1,0,175,11,1,0.995,0,14,2,12.5
고영표,KT,투수,28,27,174 2/3,2,4,7,28,2,0.946,0,0,0,-
김민,KT,투수,16,4,29,0,1,3,3,1,1.0,0,0,0,-
김민수,KT,투수,14,0,13,0,0,0,2,0,1.0,0,0,0,-
김민혁,KT,좌익수,46,28,275 2/3,1,0,68,1,0,0.986,0,0,0,-
김민혁,KT,우익수,46,42,288,2,0,64,0,0,0.97,0,0,0,-
김민혁,KT,중견수,30,28,204,1,0,58,0,0,0.983,0,0,0,-
김병준,KT,중견수,1,1,5,0,0,3,0,0,1.000,0,0,0,-
김병희,KT,3루수,3,1,14,0,0,0,3,0,1.000,0,0,0,-
김병희,KT,2루수,1,0,2,0,0,0,0,0,-,0,0,0,-
김상수,KT,유격수,129,123,1020 1/3,6,0,176,259,54,0.986,0,0,0,-
김영현,KT,투수,31,0,33,2,0,1,6,0,0.778,0,0,0,-
김재윤,KT,투수,59,0,65 2/3,1,0,5,7,1,0.923,0,0,0,-
김정운,KT,투수,5,0,7,0,0,0,0,0,-,0,0,0,-
김준태,KT,포수,35,16,162 2/3,4,0,108,11,2,0.967,1,21,4,16.0
김태오,KT,투수,5,0,7 1/3,0,0,0,2,0,1.000,0,0,0,-
류현인,KT,3루수,6,4,35,1,0,3,5,2,0.889,0,0,0,-
류현인,KT,2루수,8,1,22,0,0,3,9,1,1.000,0,0,0,-
류현인,KT,유격수,2,0,3,0,0,2,2,1,1.000,0,0,0,-
문상인,KT,포수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
문상준,KT,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
문상준,KT,2루수,2,1,8,1,0,1,0,0,0.500,0,0,0,-
문상철,KT,1루수,27,13,131,1,0,120,9,10,0.992,0,0,0,-
문상철,KT,좌익수,7,3,39,1,0,11,0,0,0.917,0,0,0,-
문상철,KT,우익수,2,1,7 2/3,0,0,4,0,0,1.000,0,0,0,-
문상철,KT,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
박경수,KT,2루수,101,52,503,4,0,117,179,35,0.987,0,0,0,-
박민석,KT,유격수,1,1,9,1,0,1,2,2,0.750,0,0,0,-
박민석,KT,2루수,2,0,2,0,0,0,1,0,1.000,0,0,0,-
박병호,KT,1루수,92,89,730 1/3,5,0,670,61,55,0.993,0,0,0,-
박세진,KT,투수,16,0,11 2/3,0,0,0,2,0,1.0,0,0,0,-
박영현,KT,투수,68,0,75 1/3,0,0,5,7,0,1.0,0,0,0,-
배정대,KT,중견수,97,93,800,1,0,246,6,3,0.996,0,0,0,-
배제성,KT,투수,26,24,130 1/3,2,0,8,14,1,0.917,0,0,0,-
벤자민,KT,투수,29,29,160,6,0,11,14,1,0.806,0,0,0,-
