player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
53312,김건희,키움,9,0,0,0,-,0,0
53164,김동규,키움,1,0,0,0,-,0,0
53344,김동헌,키움,102,0,0,0,-,1,0
50360,김동혁,키움,2,0,0,0,-,0,0
50304,김병휘,키움,10,0,0,0,-,0,0
66018,김선기,키움,2,0,0,0,-,0,0
51301,김성진,키움,2,0,0,0,-,0,0
68346,김수환,키움,50,0,0,0,-,0,0
51303,김시앙,키움,33,0,0,0,-,1,1
65898,김웅빈,키움,29,0,0,0,-,2,0
67391,김재웅,키움,1,0,0,0,-,0,0
62332,김재현,키움,8,0,0,0,-,1,0
69306,김주형,키움,46,0,0,0,-,0,0
63920,김준완,키움,76,0,0,0,-,2,0
51393,김준형,키움,1,0,0,0,-,0,0
64984,김태진,키움,74,0,0,0,-,2,0
67304,김혜성,키움,137,28,25,3,89.3,6,2
51344,김휘집,키움,110,0,0,0,-,2,0
53327,도슨,키움,57,11,9,2,81.8,2,0
50350,러셀,키움,59,1,1,0,100,1,0
60336,문성현,키움,2,0,0,0,-,0,0
52305,박수종,키움,23,0,0,0,-,0,0
50357,박주홍,키움,27,1,1,0,100,1,0
64657,박준태,키움,14,0,0,0,-,0,0
52348,박찬혁,키움,48,0,0,0,-,0,1
65357,송성문,키움,104,1,1,0,100,1,0
53303,송재선,키움,5,0,0,0,-,0,0
50312,신준우,키움,24,0,0,0,-,0,0
61268,양현,키움,2,0,0,0,-,0,0
68330,예진원,키움,16,0,0,0,-,0,0
76118,원종현,키움,2,0,0,0,-,0,0
69399,윤정현,키움,3,0,0,0,-,0,0
52397,이명종,키움,3,0,0,0,-,0,0
67363,이병규,키움,7,0,0,0,-,0,0
53302,이승원,키움,4,0,0,0,-,0,0
74163,이용규,키움,50,3,2,1,66.7,2,0
75566,이원석,키움,89,1,0,1,0.0,2,0
67341,이정후,키움,86,9,6,3,66.7,1,1
50167,이주형,키움,69,4,3,1,75.0,0,1
79456,이지영,키움,81,2,1,1,50.0,0,0
78135,이형종,키움,99,0,0,0,-,4,0
64346,임병욱,키움,80,4,4,0,100,4,0
64340,임지열,키움,72,1,1,0,100,2,0
78352,임창민,키움,2,0,0,0,-,0,0
65586,전병우,키움,41,0,0,0,-,0,0
69332,주성원,키움,25,0,0,0,-,1,1
64350,하영민,키움,3,0,0,0,-,0,0
53375,후라도,키움,1,0,0,0,-,0,0
