player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
69517,고승민,롯데,좌익수,2,2,14,0,0,3,0,0,1.000,0,0,0,-
69517,고승민,롯데,1루수,62,54,449 2/3,2,0,390,37,32,0.995,0,0,0,-
69517,고승민,롯데,우익수,30,15,141 2/3,0,0,24,0,0,1.0,0,0,0,-
53506,구드럼,롯데,유격수,14,13,90,4,0,13,26,3,0.907,0,0,0,-
53506,구드럼,롯데,우익수,1,1,5,0,0,3,0,0,1.000,0,0,0,-
53506,구드럼,롯데,2루수,1,1,8,1,0,2,1,1,0.750,0,0,0,-
53506,구드럼,롯데,좌익수,1,1,6,0,0,0,0,0,-,0,0,0,-
53506,구드럼,롯데,3루수,38,29,274,8,0,21,51,4,0.9,0,0,0,-
63543,구승민,롯데,투수,67,0,63 2/3,1,0,3,11,0,0.933,0,0,0,-
79290,국해성,롯데,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
65522,김강현,롯데,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
68585,김도규,롯데,투수,36,0,29 2/3,0,0,1,0,0,1.0,0,0,0,-
52504,김동혁,롯데,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
52504,김동혁,롯데,중견수,2,0,2,0,0,0,0,0,-,0,0,0,-
52504,김동혁,롯데,우익수,9,2,18,0,0,4,0,0,1.000,0,0,0,-
53554,김민석,롯데,중견수,125,107,933 2/3,1,0,243,3,0,0.996,0,0,0,-
67504,김민수,롯데,1루수,9,6,48,0,0,39,1,6,1.000,0,0,0,-
67504,김민수,롯데,3루수,11,8,69,2,0,5,12,2,0.895,0,0,0,-
67504,김민수,롯데,2루수,1,0,2,0,0,0,1,1,1.000,0,0,0,-
76430,김상수,롯데,투수,66,0,52,1,0,2,5,1,0.875,0,0,0,-
62528,김원중,롯데,투수,63,0,63 2/3,0,0,4,7,0,1.0,0,0,0,-
51516,김진욱,롯데,투수,49,0,36 1/3,0,0,3,7,0,1.0,0,0,0,-
51586,김창훈,롯데,투수,3,0,4 1/3,0,0,0,0,0,-,0,0,0,-
67768,김태욱,롯데,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
67539,나균안,롯데,투수,23,23,130 1/3,1,0,5,14,1,0.950,0,0,0,-
67454,나원탁,롯데,투수,1,0,2/3,0,0,0,1,0,1.000,0,0,0,-
62931,노진혁,롯데,유격수,107,95,827,11,0,142,220,50,0.971,0,0,0,-
52547,렉스,롯데,우익수,23,23,189 1/3,2,0,31,0,0,0.939,0,0,0,-
52547,렉스,롯데,좌익수,18,17,134,0,0,30,1,1,1.000,0,0,0,-
65643,문경찬,롯데,투수,2,0,2,0,0,0,0,0,-,0,0,0,-
64021,박세웅,롯데,투수,27,27,154,0,0,6,26,1,1.000,0,0,0,-
62802,박승욱,롯데,3루수,39,22,190 2/3,2,0,8,29,1,0.949,0,0,0,-
62802,박승욱,롯데,2루수,77,44,447 1/3,8,0,104,165,38,0.971,0,0,0,-
62802,박승욱,롯데,1루수,2,0,2,0,0,1,0,0,1.000,0,0,0,-
62802,박승욱,롯데,유격수,22,15,134,1,0,25,47,11,0.986,0,0,0,-
69507,박영완,롯데,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
69594,박진,롯데,투수,4,0,5,0,0,0,1,0,1.000,0,0,0,-
52528,반즈,롯데,투수,30,30,170 1/3,0,0,3,28,3,1.0,0,0,0,-
53587,배영빈,롯데,3루수,2,0,2,0,0,1,1,0,1.000,0,0,0,-
53587,배영빈,롯데,유격수,10,5,43,1,0,6,12,2,0.947,0,0,0,-
53587,배영빈,롯데,2루수,5,0,6,1,0,1,1,0,0.667,0,0,0,-
53569,서동욱,롯데,우익수,5,4,25,0,0,5,0,0,1.000,0,0,0,-
53569,서동욱,롯데,포수,1,1,6,0,0,5,0,0,1.000,0,2,0,0.0
53560,석상호,롯데,투수,5,0,5 1/3,0,0,0,0,0,-,0,0,0,-
51528,손성빈,롯데,포수,44,20,201 2/3,1,1,166,13,1,0.994,2,3,7,70.0
50558,스트레일리,롯데,투수,16,16,80 1/3,0,0,3,7,0,1.000,0,0,0,-
69508,신윤후,롯데,중견수,4,1,12,0,0,5,0,0,1.000,0,0,0,-
69508,신윤후,롯데,좌익수,17,5,60,2,0,13,0,0,0.867,0,0,0,-
60140,신정락,롯데,투수,34,0,29,0,0,1,5,1,1.0,0,0,0,-
64017,심재민,롯데,투수,33,6,47 2/3,0,0,2,10,0,1.0,0,0,0,-
50202,안권수,롯데,우익수,27,18,157,0,0,46,1,1,1.000,0,0,0,-
50202,안권수,롯데,좌익수,61,32,312 2/3,3,0,92,4,0,0.97,0,0,0,-
50202,안권수,롯데,중견수,30,18,143 2/3,0,0,48,1,0,1.000,0,0,0,-
79608,안치홍,롯데,2루수,93,87,699,2,0,175,209,40,0.995,0,0,0,-
79608,안치홍,롯데,1루수,34,22,211,2,0,201,11,18,0.991,0,0,0,-
51526,우강훈,롯데,투수,3,1,6,1,0,0,0,0,0.000,0,0,0,-
53546,윌커슨,롯데,투수,13,13,79 2/3,2,0,4,7,1,0.846,0,0,0,-
61102,유강남,롯데,포수,109,98,821,4,0,714,60,2,0.995,9,71,20,22.0
52591,윤동희,롯데,좌익수,8,2,23 1/3,0,0,4,0,0,1.000,0,0,0,-
52591,윤동희,롯데,중견수,14,8,69 1/3,1,0,22,0,0,0.957,0,0,0,-
52591,윤동희,롯데,우익수,94,79,716 1/3,3,0,156,2,0,0.981,0,0,0,-
62242,윤명준,롯데,투수,21,0,19 1/3,0,0,0,4,1,1.000,0,0,0,-
53505,윤수녕,롯데,우익수,2,1,10,0,0,1,0,0,1.000,0,0,0,-
53505,윤수녕,롯데,좌익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
52530,이민석,롯데,투수,1,0,1 1/3,0,0,0,0,0,-,0,0,0,-
64565,이인복,롯데,투수,10,7,33 1/3,1,0,2,4,1,0.857,0,0,0,-
67644,이정훈,롯데,좌익수,11,9,63,1,0,18,0,0,0.947,0,0,0,-
67644,이정훈,롯데,1루수,3,2,17,0,0,15,3,1,1.000,0,0,0,-
53562,이진하,롯데,투수,9,0,8,0,0,0,0,0,-,0,0,0,-
53594,이태연,롯데,투수,15,0,5 2/3,0,0,1,0,0,1.000,0,0,0,-
69453,이학주,롯데,2루수,4,1,9,1,0,5,2,2,0.875,0,0,0,-
69453,이학주,롯데,유격수,53,16,178 1/3,5,0,30,56,11,0.945,0,0,0,-
69453,이학주,롯데,3루수,53,13,162 2/3,3,0,16,35,4,0.944,0,0,0,-
68507,장두성,롯데,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-
68507,장두성,롯데,중견수,15,1,43,0,0,10,0,0,1.000,0,0,0,-
68507,장두성,롯데,좌익수,6,0,7,0,0,2,0,0,1.000,0,0,0,-
53596,장세진,롯데,투수,2,0,1 1/3,0,0,0,2,0,1.000,0,0,0,-
78513,전준우,롯데,1루수,3,3,26 2/3,1,0,27,2,2,0.967,0,0,0,-
78513,전준우,롯데,좌익수,44,40,309 1/3,1,0,74,2,0,0.987,0,0,0,-
53568,정대선,롯데,2루수,18,11,101,0,0,14,26,6,1.000,0,0,0,-
68518,정보근,롯데,포수,51,23,228 2/3,1,1,191,24,3,0.995,2,14,8,36.4
68556,정성종,롯데,투수,12,3,22,1,0,0,5,1,0.833,0,0,0,-
60523,정훈,롯데,1루수,66,47,410 1/3,5,0,344,23,30,0.987,0,0,0,-
64717,지시완,롯데,포수,2,2,15,0,0,10,5,0,1.000,0,1,2,66.7
52558,진승현,롯데,투수,24,0,27 2/3,1,0,1,5,0,0.857,0,0,0,-
64718,최설우,롯데,투수,8,0,10,0,0,1,3,0,1.000,0,0,0,-
68036,최이준,롯데,투수,28,0,29,0,0,0,2,0,1.000,0,0,0,-
50556,최준용,롯데,투수,47,0,47 2/3,0,0,3,10,2,1.0,0,0,0,-
68525,한동희,롯데,3루수,77,72,574,9,0,43,96,7,0.939,0,0,0,-
68525,한동희,롯데,1루수,22,10,107 2/3,3,0,99,5,11,0.972,0,0,0,-
62363,한현희,롯데,투수,38,18,104,1,1,4,11,0,0.938,0,0,0,-
50500,황성빈,롯데,중견수,14,9,68 2/3,0,0,21,0,0,1.000,0,0,0,-
50500,황성빈,롯데,좌익수,60,36,337,1,0,96,2,0,0.99,0,0,0,-
50500,황성빈,롯데,우익수,2,1,9,0,0,3,0,0,1.000,0,0,0,-
