선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
고승민,롯데,0.224,94,308,255,35,57,14,2,2,81,24,6,4
구드럼,롯데,0.295,50,201,173,16,51,14,1,0,67,28,0,4
국해성,롯데,0.250,6,10,8,0,2,0,0,0,2,1,0,0
김동혁,롯데,0.000,15,9,7,3,0,0,0,0,0,0,0,0
김민석,롯데,0.255,129,454,400,53,102,24,0,3,135,39,12,5
김민수,롯데,0.209,25,51,43,4,9,1,1,0,12,2,1,0
김상수,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
김원중,롯데,-,3,0,0,0,0,0,0,0,0,0,0,0
노진혁,롯데,0.257,113,390,334,43,86,26,1,4,126,51,4,4
렉스,롯데,0.246,55,234,203,20,50,4,2,4,70,30,0,2
박승욱,롯데,0.286,123,338,290,37,83,18,3,0,107,30,11,1
박형준,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0
배영빈,롯데,0.313,18,18,16,2,5,2,0,0,7,0,1,0
서동욱,롯데,0.118,13,20,17,2,2,1,0,0,3,0,0,0
손성빈,롯데,0.263,45,80,76,13,20,3,0,1,26,15,2,0
신윤후,롯데,0.040,28,27,25,2,1,0,0,0,1,1,0,0
안권수,롯데,0.269,95,309,268,42,72,6,1,2,86,29,7,3
안치홍,롯데,0.292,121,494,425,57,124,20,1,8,170,63,5,5
유강남,롯데,0.261,121,403,352,45,92,13,0,10,135,55,2,4
윤동희,롯데,0.287,107,423,387,45,111,18,1,2,137,41,2,5
윤수녕,롯데,0.250,3,4,4,0,1,0,0,0,1,1,0,0
이정훈,롯데,0.296,59,171,152,17,45,7,0,1,55,17,0,3
이학주,롯데,0.209,104,122,110,22,23,2,0,3,34,13,0,0
장두성,롯데,0.154,25,15,13,7,2,0,0,0,2,1,1,0
전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,0,7
정대선,롯데,0.150,19,47,40,5,6,1,0,0,7,6,1,2
정보근,롯데,0.333,55,101,81,11,27,6,1,1,38,13,4,1
정훈,롯데,0.279,80,233,201,40,56,14,0,6,88,31,4,2
지시완,롯데,0.125,6,10,8,0,1,0,0,0,1,0,2,0
최설우,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0
한동희,롯데,0.223,108,353,319,30,71,11,0,5,97,32,2,5
황성빈,롯데,0.212,74,191,170,22,36,5,2,0,45,8,8,0
