선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
권희동,NC,0.285,96,373,309,33,88,16,0,7,125,63,4,5
김성욱,NC,0.223,93,204,179,28,40,10,0,6,68,16,3,1
김수윤,NC,0.214,16,15,14,0,3,0,0,0,3,2,0,0
김시훈,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4
김한별,NC,0.216,79,105,97,8,21,0,1,0,23,4,2,0
김형준,NC,0.236,26,82,72,10,17,2,0,6,37,13,1,0
도태훈,NC,0.234,117,302,239,41,56,6,0,5,77,23,7,1
류진욱,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,0,10
박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,1,9
박대온,NC,0.286,25,33,28,6,8,3,0,0,11,3,0,1
박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,5,3
박석민,NC,0.193,30,107,88,9,17,1,0,1,21,8,1,1
박세혁,NC,0.211,88,283,242,35,51,9,3,6,84,32,6,1
박영빈,NC,0.071,41,17,14,11,1,1,0,0,2,0,2,0
박주찬,NC,0.143,5,14,14,1,2,0,0,0,2,0,0,0
박한결,NC,0.333,12,18,15,3,5,1,0,1,9,5,0,0
서호철,NC,0.287,114,435,397,50,114,17,3,5,152,41,6,4
손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,1,5
안중열,NC,0.195,77,177,154,15,30,6,0,4,48,17,3,2
오영수,NC,0.236,70,238,208,21,49,9,1,4,72,24,5,3
오장한,NC,0.143,3,8,7,2,1,0,0,0,1,0,0,0
오태양,NC,0.000,21,3,3,4,0,0,0,0,0,0,0,0
윤형준,NC,0.252,82,236,218,17,55,12,1,5,84,27,2,3
이용찬,NC,-,2,0,0,0,0,0,0,0,0,0,0,0
전사민,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0
조현진,NC,0.200,10,5,5,0,1,0,0,0,1,0,0,0
채원후,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
천재환,NC,0.239,78,179,163,12,39,7,1,2,54,17,2,2
최보성,NC,0.263,12,21,19,2,5,0,0,0,5,0,0,0
최정원,NC,0.260,39,56,50,12,13,3,2,0,20,5,2,0
한석현,NC,0.200,27,66,60,5,12,1,0,0,13,2,2,0
한재승,NC,-,1,0,0,0,0,0,0,0,0,0,0,0
