player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
74540,강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,1,5
53460,강준서,삼성,0.214,10,15,14,2,3,1,0,0,4,0,0,0
64610,강한울,삼성,0.217,72,240,212,30,46,7,2,0,57,10,6,2
68407,공민규,삼성,0.194,22,33,31,0,6,1,1,0,9,2,0,0
62404,구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,2,3
61365,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
69442,김도환,삼성,0.143,9,8,7,0,1,0,0,0,1,0,0,0
66838,김동엽,삼성,0.255,69,182,165,20,42,7,0,5,64,18,0,2
51403,김동진,삼성,0.262,44,137,122,14,32,7,0,0,39,8,3,2
64793,김민수,삼성,0.000,2,1,1,0,0,0,0,0,0,0,0,0
52402,김상민,삼성,0.083,8,13,12,3,1,0,0,0,1,0,0,0
52460,김서준,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
67449,김성윤,삼성,0.314,101,272,245,40,77,4,6,2,99,28,4,5
52430,김영웅,삼성,0.187,55,103,91,11,17,6,0,2,29,12,3,1
53400,김재상,삼성,0.15,17,22,20,1,3,0,0,1,6,2,0,0
65132,김재성,삼성,0.192,57,125,99,7,19,3,0,1,25,7,2,0
50458,김지찬,삼성,0.292,99,355,291,59,85,4,2,1,96,18,7,0
62360,김태훈,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
65040,김태훈,삼성,0.095,11,22,21,0,2,1,0,0,3,1,1,0
61404,김헌곤,삼성,0.000,6,4,4,0,0,0,0,0,0,0,0,0
51417,김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,8,3
64407,김호재,삼성,0.216,75,127,116,6,25,7,0,0,32,9,5,0
53404,류승민,삼성,0.212,24,57,52,5,11,3,0,0,14,5,2,0
62234,류지혁,삼성,0.268,132,522,455,63,122,11,1,2,141,45,10,5
64469,송준석,삼성,0.25,7,8,8,0,2,0,0,0,2,1,0,0
66406,안주형,삼성,0.241,53,91,79,12,19,2,0,1,24,10,1,1
75421,오승환,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0
75334,오재일,삼성,0.203,106,364,315,31,64,15,0,11,112,54,0,3
68463,윤정빈,삼성,0.147,28,43,34,5,5,0,0,1,8,3,0,0
69428,이병헌,삼성,0.143,23,33,28,3,4,0,0,0,4,2,1,1
63960,이상민,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0
66409,이성규,삼성,0.207,109,162,145,23,30,10,1,1,45,18,4,2
60146,이승현,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
51454,이승현,삼성,-,2,0,0,0,0,0,0,0,0,0,0,0
63492,이재익,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0
52415,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6
68466,이태훈,삼성,0.231,12,14,13,1,3,1,0,0,4,0,0,0
69416,이해승,삼성,0.25,9,4,4,0,1,1,0,0,2,0,0,0
52405,조민성,삼성,0.207,15,29,29,1,6,2,0,0,8,5,0,0
51463,피렐라,삼성,0.285,139,605,557,66,159,28,1,16,237,80,0,2
