선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
김대우,삼성,4.5,44,0,2,0,4,0.000,64,66,7,22,3,49,37,32,1.38
김서준,삼성,7.04,8,0,1,0,1,0.000,7 2/3,9,0,6,2,2,6,6,1.96
김시현,삼성,12.0,2,0,0,0,0,-,3,6,2,2,0,2,5,4,2.67
김태훈,삼성,7.11,71,6,7,3,11,0.462,63 1/3,74,8,43,3,40,54,50,1.85
노건우,삼성,7.3,16,0,1,0,1,0.000,12 1/3,22,3,5,1,12,11,10,2.19
문용익,삼성,4.15,14,1,0,0,0,1.000,13,8,0,12,2,12,6,6,1.54
박권후,삼성,3.38,4,0,0,0,0,-,2 2/3,4,1,1,0,0,2,1,1.88
백정현,삼성,3.67,18,7,5,0,0,0.583,100 2/3,100,6,30,0,61,44,41,1.29
뷰캐넌,삼성,2.54,30,12,8,0,0,0.6,188,174,4,43,6,139,71,53,1.15
뷰캐넌,삼성,2.54,30,12,8,0,0,0.600,188,174,4,43,6,139,71,53,1.15
수아레즈,삼성,3.92,19,4,7,0,0,0.364,108,129,3,32,2,88,54,47,1.49
양창섭,삼성,9.1,15,0,3,0,2,0.000,28 2/3,45,7,16,1,12,29,29,2.13
오승환,삼성,3.45,58,4,5,30,2,0.444,62 2/3,57,9,15,2,44,26,24,1.15
와이드너,삼성,4.54,21,7,5,0,0,0.583,115,112,7,40,6,99,65,58,1.32
우규민,삼성,4.81,56,3,1,0,13,0.750,43,55,3,5,3,28,25,23,1.4
원태인,삼성,3.24,26,7,7,0,0,0.5,150,157,15,34,6,102,61,54,1.27
원태인,삼성,3.24,26,7,7,0,0,0.500,150,157,15,34,6,102,61,54,1.27
이상민,삼성,8.5,23,2,1,0,1,0.667,18,32,2,3,0,17,17,17,1.94
이승현,삼성,3.6,60,4,4,0,14,0.500,60,68,5,15,0,42,29,24,1.38
이승현,삼성,4.98,48,1,5,5,7,0.167,43 1/3,41,6,29,2,37,26,24,1.62
이재익,삼성,3.95,51,1,3,0,11,0.250,41,46,3,17,0,26,19,18,1.54
이재희,삼성,3.38,2,0,0,0,0,-,8,4,1,5,0,5,3,3,1.13
이호성,삼성,2.65,5,1,0,0,0,1.000,17,11,1,10,0,11,5,5,1.24
장필준,삼성,7.91,17,1,1,0,1,0.500,19 1/3,28,2,12,2,11,17,17,2.07
최지광,삼성,5.19,22,2,0,0,1,1.000,17 1/3,17,4,9,1,18,10,10,1.5
최채흥,삼성,6.68,15,1,7,0,0,0.125,63 1/3,90,9,16,3,33,52,47,1.67
최충연,삼성,4.82,7,0,0,0,0,-,9 1/3,10,3,7,3,8,8,5,1.82
최하늘,삼성,19.89,3,0,2,0,0,0.000,6 1/3,14,2,5,2,3,14,14,3.0
허윤동,삼성,10.13,7,0,1,0,0,0.000,10 2/3,16,0,12,0,8,12,12,2.63
홍원표,삼성,2.45,3,0,0,0,0,-,3 2/3,2,0,2,0,1,1,1,1.09
홍정우,삼성,7.5,36,2,3,0,3,0.400,36,36,5,21,3,22,31,30,1.58
황동재,삼성,7.11,7,0,5,0,0,0.000,31 2/3,40,6,21,2,27,27,25,1.93
