date,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
2024-03-23,잠실,한화,LG,finished,23750.0,14:00,16:49,169,2.0,8.0
2024-03-23,문학,롯데,SSG,finished,23000.0,14:00,17:24,204,3.0,5.0
2024-03-23,창원,두산,NC,finished,17891.0,14:01,16:49,168,3.0,4.0
2024-03-23,수원,삼성,KT,finished,18700.0,14:00,17:19,199,6.0,2.0
2024-03-23,광주,키움,KIA,finished,20500.0,13:59,16:46,167,5.0,7.0
2024-03-24,잠실,한화,LG,finished,23750.0,14:00,17:04,184,8.0,4.0
2024-03-24,문학,롯데,SSG,finished,23000.0,14:00,17:45,225,6.0,7.0
2024-03-24,창원,두산,NC,finished,14555.0,14:00,17:35,184,6.0,3.0
2024-03-24,수원,삼성,KT,finished,18700.0,14:00,17:17,197,11.0,8.0
2024-03-24,수원,키움,KIA,canceled,,,,,,
2024-03-26,잠실,삼성,LG,finished,14229.0,18:30,21:09,159,3.0,4.0
2024-03-26,문학,한화,SSG,finished,10541.0,18:30,21:24,174,6.0,0.0
2024-03-26,창원,키움,NC,finished,2839.0,18:30,21:52,202,5.0,10.0
2024-03-26,수원,두산,KT,finished,4378.0,18:30,21:28,178,8.0,5.0
2024-03-26,광주,롯데,KIA,finished,7328.0,18:30,21:17,167,1.0,2.0
2024-03-27,잠실,삼성,LG,finished,18041.0,18:30,22:42,252,2.0,2.0
2024-03-27,문학,한화,SSG,finished,11005.0,18:29,21:13,164,3.0,1.0
2024-03-27,창원,키움,NC,finished,3681.0,18:30,21:15,165,2.0,6.0
2024-03-27,수원,두산,KT,finished,5271.0,18:30,21:49,199,11.0,8.0
2024-03-27,광주,롯데,KIA,finished,8672.0,18:30,21:27,177,2.0,8.0
2024-03-28,잠실,삼성,LG,finished,13420.0,18:30,21:36,186,1.0,18.0
2024-03-28,문학,한화,SSG,finished,11755.0,18:30,22:06,216,10.0,6.0
2024-03-28,문학,키움,NC,canceled,,,,,,
2024-03-28,수원,두산,KT,finished,4304.0,18:30,22:01,211,7.0,8.0
2024-03-28,수원,롯데,KIA,canceled,,,,,,
2024-03-29,한밭,KT,한화,finished,12000.0,18:30,20:53,143,2.0,3.0
2024-03-29,잠실,KIA,두산,finished,23750.0,18:31,22:19,228,4.0,2.0
2024-03-29,사직,NC,롯데,finished,21554.0,18:31,21:30,179,1.0,3.0
2024-03-29,대구,SSG,삼성,finished,21479.0,18:29,21:09,160,6.0,4.0
2024-03-29,고척,LG,키움,finished,8465.0,18:30,21:13,163,3.0,0.0
2024-03-30,한밭,KT,한화,finished,12000.0,14:00,17:20,200,5.0,8.0
2024-03-30,잠실,KIA,두산,finished,23750.0,17:02,19:51,169,0.0,8.0
2024-03-30,사직,NC,롯데,finished,22754.0,17:02,20:08,186,8.0,0.0
2024-03-30,대구,SSG,삼성,finished,24000.0,17:00,20:46,226,9.0,6.0
2024-03-30,고척,LG,키움,finished,13462.0,17:01,19:45,164,3.0,8.0
2024-03-31,한밭,KT,한화,finished,12000.0,14:00,16:43,163,3.0,14.0
2024-03-31,잠실,KIA,두산,finished,23750.0,14:01,17:08,187,9.0,3.0
2024-03-31,사직,NC,롯데,finished,21578.0,14:00,19:07,307,8.0,7.0
2024-03-31,대구,SSG,삼성,finished,22886.0,13:59,17:35,216,4.0,3.0
2024-03-31,고척,LG,키움,finished,11822.0,14:00,16:49,169,4.0,8.0
2024-04-02,한밭,롯데,한화,finished,12000.0,18:30,22:02,212,1.0,0.0
2024-04-02,잠실,NC,LG,finished,11845.0,18:30,22:14,224,7.0,5.0
2024-04-02,문학,두산,SSG,finished,12379.0,18:29,22:03,214,6.0,13.0
