팀명,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
KIA,144,87,55,44,89,0.613,1288,1365,141,539,85,1125,759,629,1.48
LG,144,76,66,34,65,0.535,1277,1375,126,529,80,1082,728,657,1.49
삼성,144,78,64,41,116,0.549,1282 2/3,1384,164,477,81,980,719,667,1.45
두산,144,74,68,41,87,0.521,1283 2/3,1332,135,585,92,1083,748,688,1.49
한화,144,66,76,26,68,0.465,1274 2/3,1437,128,511,76,1130,780,706,1.53
NC,144,61,81,22,65,0.43,1275 2/3,1389,137,531,67,1061,801,708,1.51
롯데,144,66,74,30,58,0.471,1280 2/3,1442,139,523,75,1131,791,719,1.53
KT,144,72,70,28,50,0.507,1284 1/3,1448,155,443,65,1118,804,729,1.47
키움,144,58,86,23,48,0.403,1272 2/3,1416,150,497,88,921,796,729,1.5
SSG,144,72,70,33,80,0.507,1269 2/3,1341,163,630,74,1195,814,740,1.55
