game_id,player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
20240905LTKT0,69064,2024-09-05,롯데,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20240323KTSS0,74540,2024-03-23,KT,0.5,5,4,2,2,0,0,1,1,0,0,1,0,0,1,0.5
20240324KTSS0,74540,2024-03-24,KT,0.333,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0.429
20240326LGSS0,74540,2024-03-26,LG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375
20240327LGSS0,74540,2024-03-27,LG,0.25,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.333
20240328LGSS0,74540,2024-03-28,LG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.333
20240329SKSS0,74540,2024-03-29,SSG,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.263
20240303SKSS0,74540,2024-03-03,SSG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
20240331SKSS0,74540,2024-03-31,SSG,0,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0.208
20240402WOSS0,74540,2024-04-02,키움,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.222
20240404WOSS0,74540,2024-04-04,키움,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.2
20240405HTSS0,74540,2024-04-05,KIA,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0.176
20240406HTSS0,74540,2024-04-06,KIA,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0.171
20240407HTSS0,74540,2024-04-07,KIA,0.25,5,4,0,1,0,0,0,2,0,0,0,0,1,0,0.179
20240409LTSS0,74540,2024-04-09,롯데,0,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.163
20240401LTSS0,74540,2024-04-01,롯데,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0.163
20240411LTSS0,74540,2024-04-11,롯데,0.5,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0.191
20240412NCSS0,74540,2024-04-12,NC,0.667,4,3,0,2,0,0,0,2,0,0,1,0,0,0,0.22
20240413NCSS0,74540,2024-04-13,NC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.216
20240414NCSS0,74540,2024-04-14,NC,0.25,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.218
20240416OBSS0,74540,2024-04-16,두산,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.224
20240417OBSS0,74540,2024-04-17,두산,0.6,5,5,1,3,1,0,0,0,0,0,0,0,0,2,0.254
20240418OBSS0,74540,2024-04-18,두산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254
20240419HHSS0,74540,2024-04-19,한화,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.242
20240402HHSS0,74540,2024-04-02,한화,0.25,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.243
20240421HHSS0,74540,2024-04-21,한화,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.254
20240423LGSS0,74540,2024-04-23,LG,0.333,4,3,1,1,0,0,0,1,0,0,1,0,2,0,0.257
20240424LGSS0,74540,2024-04-24,LG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.253
20240425LGSS0,74540,2024-04-25,LG,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.247
20240426WOSS0,74540,2024-04-26,키움,0.5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0.259
20240427WOSS0,74540,2024-04-27,키움,0.25,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0.259
20240428WOSS0,74540,2024-04-28,키움,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0.256
20240403OBSS0,74540,2024-04-03,두산,0.25,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.256
20240501OBSS0,74540,2024-05-01,두산,0.4,5,5,2,2,0,0,0,1,0,0,0,0,0,1,0.263
20240502OBSS0,74540,2024-05-02,두산,0.2,5,5,1,1,0,0,0,0,0,0,0,0,0,1,0.26
20240503LTSS0,74540,2024-05-03,롯데,0.5,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.269
20240504LTSS0,74540,2024-05-04,롯데,0.25,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.269
20240508HTSS0,74540,2024-05-08,KIA,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0.257
20240509HTSS0,74540,2024-05-09,KIA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.254
20240501NCSS0,74540,2024-05-01,NC,0.333,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0.256
20240511NCSS0,74540,2024-05-11,NC,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0.254
20240512NCSS0,74540,2024-05-12,NC,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.261
20240514SKSS0,74540,2024-05-14,SSG,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0.262
20240516SKSS0,74540,2024-05-16,SSG,0.5,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0.266
20240517HHSS0,74540,2024-05-17,한화,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.262
20240518HHSS0,74540,2024-05-18,한화,0.25,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.262
20240519HHSS0,74540,2024-05-19,한화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262
20240521KTSS0,74540,2024-05-21,KT,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0.258
20240523KTSS0,74540,2024-05-23,KT,0.5,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0.261
20240524LTSS0,74540,2024-05-24,롯데,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0.267
20240525LTSS0,74540,2024-05-25,롯데,1,4,2,2,2,0,1,0,1,0,0,2,0,0,0,0.277
20240526LTSS0,74540,2024-05-26,롯데,0.25,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.277
20240528WOSS0,74540,2024-05-28,키움,0.5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.28
20240529WOSS0,74540,2024-05-29,키움,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.278
20240503WOSS0,74540,2024-05-03,키움,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278
20240531HHSS0,74540,2024-05-31,한화,0.5,4,2,0,1,0,0,0,1,0,0,1,1,0,0,0.281
20240601HHSS0,74540,2024-06-01,한화,0.5,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0.287
20240602HHSS0,74540,2024-06-02,한화,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.285
20240604SKSS0,74540,2024-06-04,SSG,0.5,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0.288
20240605SKSS0,74540,2024-06-05,SSG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.286
