선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
고종욱,KIA,0.250,28,36,32,3,8,2,0,1,13,4,0,0
곽도규,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
김규성,KIA,0.250,27,15,12,5,3,1,0,0,4,2,1,0
김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7
김두현,KIA,0.400,3,6,5,2,2,0,0,0,2,0,0,0
김민주,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
김사윤,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0
김승현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
김태군,KIA,0.264,105,270,235,24,62,7,0,7,90,34,11,1
김호령,KIA,0.136,64,67,59,12,8,2,0,1,13,4,0,0
나성범,KIA,0.291,102,424,374,51,109,17,1,21,191,80,0,7
박민,KIA,0.276,16,30,29,5,8,4,0,0,12,2,0,0
박정우,KIA,0.308,66,69,65,17,20,3,1,0,25,11,0,0
박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6
변우혁,KIA,0.304,69,187,168,22,51,9,2,5,79,21,0,1
서건창,KIA,0.310,94,248,203,40,63,14,1,1,82,26,3,3
소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5
소크라테스,KIA,0.310,140,602,552,92,171,30,3,26,285,97,0,5
예진원,KIA,0.211,22,21,19,2,4,1,0,0,5,0,0,0
오선우,KIA,0.286,3,7,7,0,2,0,0,0,2,1,0,0
윤도현,KIA,0.407,6,27,27,5,11,2,0,1,16,8,0,0
이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3
이창진,KIA,0.262,103,247,191,36,50,10,0,1,63,18,5,4
이형범,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
정해영,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0
최원준,KIA,0.292,136,508,438,75,128,23,3,9,184,56,7,5
최정용,KIA,0.182,6,12,11,0,2,0,0,0,2,1,0,0
최지민,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0
최형우,KIA,0.280,116,487,425,67,119,23,2,22,212,109,0,5
한승택,KIA,0.273,20,15,11,2,3,0,0,0,3,2,0,0
한준수,KIA,0.307,115,316,287,39,88,22,0,7,131,41,0,6
홍종표,KIA,0.295,100,115,105,27,31,4,3,0,41,11,3,0
황대인,KIA,0.286,3,7,7,1,2,1,0,0,3,3,0,0
황동하,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
