player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
69100,구본혁,LG,0.257,133,389,339,48,87,14,2,2,111,43,4,4
54164,김대원,LG,0.500,19,4,4,5,2,0,0,0,2,0,0,0
66145,김대현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0
67504,김민수,LG,0.150,19,22,20,1,3,0,0,0,3,0,0,0
53144,김범석,LG,0.241,70,180,162,14,39,4,0,6,61,24,0,2
52105,김성우,LG,0.000,4,5,5,0,0,0,0,0,0,0,0,0
69105,김성진,LG,0.267,14,16,15,1,4,0,0,1,7,2,0,0
50115,김수인,LG,0.000,4,3,3,0,0,0,0,0,0,0,0,0
68130,김영준,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
64596,김유영,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
66162,김주성,LG,0.167,12,9,6,1,1,0,0,0,1,0,0,0
75867,김진성,LG,-,4,0,0,0,0,0,0,0,0,0,0,0
76290,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9
54166,김현종,LG,0.200,17,16,15,8,3,1,0,0,4,2,0,0
69102,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13
68119,문성주,LG,0.315,96,361,305,47,96,16,2,0,116,48,1,3
79365,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7
53139,박명근,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
62415,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9
65109,백승현,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0
68110,송찬의,LG,0.067,10,21,15,2,1,0,0,0,1,1,1,1
65207,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3
65115,안익훈,LG,0.184,37,56,49,8,9,1,0,0,10,3,2,1
53123,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13
79109,오지환,LG,0.254,108,428,370,67,94,24,2,10,152,59,2,1
50106,유영찬,LG,-,8,0,0,0,0,0,0,0,0,0,0,0
51100,이영빈,LG,0.222,31,71,63,11,14,2,0,2,22,12,2,2
50904,이종준,LG,-,2,0,0,0,0,0,0,0,0,0,0,0
52154,이주헌,LG,0.667,3,6,6,0,4,2,0,0,6,3,0,0
69108,이지강,LG,-,4,0,0,0,0,0,0,0,0,0,0,0
69113,임준형,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
67123,전준호,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0
69159,정우영,LG,0.000,1,1,1,0,0,0,0,0,0,0,0,0
54148,진우영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
79140,최동환,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
54112,최명경,LG,0.333,1,3,3,0,1,0,0,0,1,0,0,0
65905,최승민,LG,0.077,57,16,13,20,1,0,0,0,1,1,1,0
52103,최원영,LG,0.270,57,41,37,18,10,2,0,1,15,5,0,0
63248,함덕주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0
50108,함창건,LG,0.143,15,17,14,3,2,0,0,0,2,0,1,0
77243,허도환,LG,0.138,59,105,80,10,11,2,0,0,13,11,5,1
66108,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4
