player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
63963,권희동,NC,좌익수,115,101,834 2/3,2,0,216,11,2,0.991,0,0,0,-
63963,권희동,NC,우익수,7,5,42 1/3,0,0,11,0,0,1.0,0,0,0,-
63963,권희동,NC,중견수,7,7,38,0,0,11,0,0,1.0,0,0,0,-
54913,김민규,NC,투수,7,0,6 1/3,1,0,0,0,0,0.000,0,0,0,-
69980,김범준,NC,좌익수,2,0,3,0,0,0,0,0,-,0,0,0,-
62934,김성욱,NC,우익수,24,8,80,0,0,15,0,0,1.0,0,0,0,-
62934,김성욱,NC,좌익수,18,3,52 1/3,0,0,14,1,0,1.0,0,0,0,-
62934,김성욱,NC,중견수,102,82,743,1,0,197,5,3,0.995,0,0,0,-
54905,김세훈,NC,유격수,5,0,8 1/3,0,0,3,0,0,1.000,0,0,0,-
54905,김세훈,NC,2루수,2,1,8,0,0,1,0,0,1.000,0,0,0,-
67900,김수윤,NC,3루수,2,0,4,0,0,0,0,0,-,0,0,0,-
67900,김수윤,NC,2루수,1,0,1,1,0,0,0,0,0.000,0,0,0,-
67900,김수윤,NC,1루수,5,1,22,0,0,22,1,2,1.000,0,0,0,-
68928,김시훈,NC,투수,39,18,107 1/3,0,0,4,9,0,1.0,0,0,0,-
68900,김영규,NC,투수,42,0,45 2/3,1,2,2,8,0,0.909,0,0,0,-
64580,김재열,NC,투수,69,0,68 2/3,2,0,3,5,0,0.8,0,0,0,-
51907,김주원,NC,유격수,132,115,1023 2/3,18,0,195,287,61,0.964,0,0,0,-
67954,김진호,NC,투수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
67956,김태현,NC,투수,11,0,10,2,1,0,3,0,0.6,0,0,0,-
50902,김한별,NC,유격수,21,7,80,1,0,9,21,2,0.968,0,0,0,-
50902,김한별,NC,2루수,16,2,32 1/3,0,0,11,6,1,1.0,0,0,0,-
50902,김한별,NC,3루수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
68912,김형준,NC,포수,116,104,870 1/3,12,0,761,59,12,0.986,5,51,31,37.8
51344,김휘집,NC,유격수,68,62,501,9,0,80,146,32,0.962,0,0,0,-
51344,김휘집,NC,3루수,61,48,434 2/3,7,0,37,84,9,0.945,0,0,0,-
51344,김휘집,NC,1루수,13,11,94,0,0,86,11,11,1.0,0,0,0,-
54944,데이비슨,NC,1루수,109,109,890 1/3,11,0,733,70,66,0.986,0,0,0,-
66965,도태훈,NC,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
66965,도태훈,NC,3루수,18,2,53 2/3,1,0,4,17,0,0.955,0,0,0,-
66965,도태훈,NC,1루수,57,17,215 2/3,1,0,172,20,15,0.995,0,0,0,-
66965,도태훈,NC,2루수,29,12,128,1,0,32,52,11,0.988,0,0,0,-
65949,류진욱,NC,투수,50,0,42 1/3,1,0,6,5,0,0.917,0,0,0,-
53973,목지훈,NC,투수,3,3,9,0,0,0,0,0,-,0,0,0,-
79215,박건우,NC,중견수,3,2,15,0,0,4,0,0,1.000,0,0,0,-
79215,박건우,NC,우익수,68,67,522,1,0,104,3,0,0.991,0,0,0,-
62907,박민우,NC,2루수,98,95,779 1/3,6,0,186,210,39,0.985,0,0,0,-
62244,박세혁,NC,포수,71,36,357 1/3,3,0,290,18,2,0.99,3,33,5,13.2
50996,박시원,NC,우익수,24,12,143 1/3,2,0,24,3,0,0.931,0,0,0,-
50996,박시원,NC,중견수,27,19,168 1/3,0,0,49,2,1,1.0,0,0,0,-
50906,박영빈,NC,좌익수,9,0,16,0,0,1,0,0,1.0,0,0,0,-
50906,박영빈,NC,중견수,2,0,2,0,0,0,0,0,-,0,0,0,-
68097,박주현,NC,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
53992,박한결,NC,좌익수,21,13,110 1/3,1,0,20,0,0,0.952,0,0,0,-
64995,배재환,NC,투수,20,0,19 2/3,0,0,2,2,1,1.0,0,0,0,-
66068,서의태,NC,투수,11,0,7 2/3,0,0,1,1,0,1.0,0,0,0,-
69995,서호철,NC,3루수,106,100,834,9,0,75,157,21,0.963,0,0,0,-
69995,서호철,NC,2루수,35,24,219 1/3,5,0,58,52,14,0.957,0,0,0,-
67962,소이현,NC,투수,4,0,3 1/3,0,0,0,0,0,-,0,0,0,-
77532,손아섭,NC,좌익수,9,9,65,0,0,13,0,0,1.0,0,0,0,-
77532,손아섭,NC,우익수,20,17,130 2/3,0,0,37,0,0,1.0,0,0,0,-
54904,손주환,NC,투수,4,1,3 2/3,0,0,0,0,0,-,0,0,0,-
69962,송명기,NC,투수,33,0,38 1/3,0,0,0,1,0,1.0,0,0,0,-
69203,송승환,NC,우익수,2,1,9,0,0,5,0,0,1.000,0,0,0,-
68902,신민혁,NC,투수,25,24,121,1,0,5,9,1,0.933,0,0,0,-
53919,신영우,NC,투수,4,2,9 1/3,0,0,1,1,0,1.000,0,0,0,-
53991,신용석,NC,포수,1,0,3,0,0,4,0,0,1.000,0,0,0,-
64022,안중열,NC,포수,9,4,45,0,0,39,3,1,1.0,0,2,1,33.3
68904,오영수,NC,1루수,10,6,49 2/3,0,0,49,4,3,1.0,0,0,0,-
69343,요키시,NC,투수,8,8,39 1/3,1,0,4,4,0,0.889,0,0,0,-
51948,이용준,NC,투수,9,9,33 2/3,0,1,0,4,0,1.0,0,0,0,-
77211,이용찬,NC,투수,57,0,54 1/3,1,2,2,11,1,0.929,0,0,0,-
60263,이재학,NC,투수,21,21,104 1/3,1,0,4,10,0,0.933,0,0,0,-
53996,이준호,NC,투수,38,2,49 1/3,1,0,3,5,1,0.889,0,0,0,-
54900,임상현,NC,투수,12,7,40 1/3,0,0,1,1,0,1.0,0,0,0,-
63959,임정호,NC,투수,65,0,55,0,1,1,11,1,1.0,0,0,0,-
69204,전루건,NC,투수,6,0,5 2/3,1,0,1,3,0,0.800,0,0,0,-
69969,전사민,NC,투수,17,0,23 2/3,0,0,2,3,0,1.0,0,0,0,-
65241,채원후,NC,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
67905,천재환,NC,우익수,48,26,248,2,0,41,1,1,0.955,0,0,0,-
67905,천재환,NC,중견수,17,8,78,0,0,29,0,0,1.0,0,0,0,-
67905,천재환,NC,좌익수,32,17,168 2/3,0,0,31,1,1,1.0,0,0,0,-
66920,최성영,NC,투수,24,4,46 2/3,0,0,3,3,0,1.0,0,0,0,-
54903,최우석,NC,투수,9,0,8 2/3,0,0,3,1,0,1.0,0,0,0,-
69992,최정원,NC,좌익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
69992,최정원,NC,중견수,37,20,184 1/3,2,0,74,0,0,0.974,0,0,0,-
69992,최정원,NC,2루수,21,10,107 2/3,1,0,33,30,8,0.984,0,0,0,-
54920,카스타노,NC,투수,19,19,111 2/3,2,0,7,20,0,0.931,0,0,0,-
54930,하트,NC,투수,26,26,157,1,1,4,22,1,0.963,0,0,0,-
64101,한석현,NC,중견수,8,5,47,0,0,15,1,0,1.0,0,0,0,-
64101,한석현,NC,좌익수,9,1,21 2/3,0,0,6,2,0,1.0,0,0,0,-
64101,한석현,NC,우익수,22,8,100 1/3,0,0,18,2,0,1.0,0,0,0,-
51994,한재승,NC,투수,51,0,45 1/3,1,0,2,5,0,0.875,0,0,0,-
50903,한재환,NC,1루수,3,0,4,0,0,3,0,0,1.000,0,0,0,-
50903,한재환,NC,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
