선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
강진성,SSG,1루수,2,1,9,0,0,6,1,1,1.000,0,0,0,-
강진성,SSG,좌익수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
고명준,SSG,1루수,92,87,667,5,0,584,42,53,0.992,0,0,0,-
고명준,SSG,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
고효준,SSG,투수,26,0,22,0,0,1,4,0,1.0,0,0,0,-
김광현,SSG,투수,31,31,162 1/3,1,0,6,17,4,0.958,0,0,0,-
김민식,SSG,포수,40,30,264 2/3,0,0,224,16,2,1.0,5,22,2,8.3
김성현,SSG,3루수,18,10,100 1/3,0,0,8,22,1,1.000,0,0,0,-
김성현,SSG,2루수,40,17,171 2/3,3,0,37,54,14,0.968,0,0,0,-
김성현,SSG,유격수,21,12,118,3,0,19,32,11,0.944,0,0,0,-
김찬형,SSG,유격수,1,0,3,0,0,2,0,0,1.000,0,0,0,-
김찬형,SSG,3루수,2,1,10,0,0,0,3,0,1.000,0,0,0,-
김찬형,SSG,2루수,2,1,11,0,0,4,1,0,1.000,0,0,0,-
김창평,SSG,우익수,1,1,4,0,0,3,0,0,1.000,0,0,0,-
김택형,SSG,투수,6,0,7,0,0,0,0,0,-,0,0,0,-
노경은,SSG,투수,77,0,83 2/3,1,0,2,7,0,0.9,0,0,0,-
더거,SSG,투수,6,6,22 2/3,1,0,0,2,0,0.667,0,0,0,-
문승원,SSG,투수,62,0,60,0,0,2,9,1,1.0,0,0,0,-
박민호,SSG,투수,19,0,22 2/3,0,1,0,1,0,1.000,0,0,0,-
박성빈,SSG,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-
박성한,SSG,유격수,135,128,1115,23,0,209,332,68,0.959,0,0,0,-
박시후,SSG,투수,11,0,14 2/3,0,0,0,4,0,1.000,0,0,0,-
박종훈,SSG,투수,10,9,35,0,0,3,4,1,1.000,0,0,0,-
박지환,SSG,3루수,9,4,38,1,0,2,4,0,0.857,0,0,0,-
박지환,SSG,2루수,54,46,406 2/3,7,0,113,129,40,0.972,0,0,0,-
백승건,SSG,투수,10,0,9 1/3,0,0,1,0,0,1.000,0,0,0,-
서진용,SSG,투수,51,0,47,1,0,1,5,0,0.857,0,0,0,-
송영진,SSG,투수,26,20,99 1/3,0,0,4,10,1,1.0,0,0,0,-
신헌민,SSG,투수,3,0,3,0,0,0,0,0,-,0,0,0,-
안상현,SSG,유격수,3,1,8,1,0,4,3,2,0.875,0,0,0,-
안상현,SSG,2루수,28,22,176,4,0,29,53,9,0.953,0,0,0,-
안상현,SSG,3루수,3,0,9,0,0,1,1,0,1.000,0,0,0,-
앤더슨,SSG,투수,24,23,115 2/3,1,0,4,9,1,0.929,0,0,0,-
에레디아,SSG,중견수,2,1,14,0,0,3,0,0,1.000,0,0,0,-
에레디아,SSG,좌익수,117,115,975,3,0,211,8,2,0.986,0,0,0,-
엘리아스,SSG,투수,22,21,123 2/3,2,2,5,21,3,0.929,0,0,0,-
오원석,SSG,투수,29,25,121 2/3,1,0,9,13,2,0.957,0,0,0,-
오태곤,SSG,우익수,10,5,50,2,0,16,1,1,0.895,0,0,0,-
오태곤,SSG,3루수,2,0,5,0,0,0,2,0,1.000,0,0,0,-
오태곤,SSG,좌익수,12,4,44 2/3,0,0,6,1,0,1.000,0,0,0,-
오태곤,SSG,중견수,14,7,56,0,0,9,0,0,1.000,0,0,0,-
오태곤,SSG,1루수,89,42,478 2/3,2,0,427,34,46,0.996,0,0,0,-
이건욱,SSG,투수,10,2,19,0,0,2,3,0,1.000,0,0,0,-
이기순,SSG,투수,10,2,19 2/3,0,0,0,1,0,1.000,0,0,0,-
이로운,SSG,투수,62,0,56,0,0,1,3,0,1.0,0,0,0,-
이지영,SSG,포수,117,105,914 2/3,7,1,919,61,9,0.993,2,87,26,23.0
장지훈,SSG,투수,18,0,21 1/3,0,0,1,3,0,1.000,0,0,0,-
전의산,SSG,1루수,23,14,114,2,0,91,9,9,0.98,0,0,0,-
정동윤,SSG,투수,3,0,1 2/3,0,0,0,0,0,-,0,0,0,-
정준재,SSG,유격수,3,1,5 2/3,0,0,1,3,0,1.000,0,0,0,-
정준재,SSG,2루수,57,47,384 2/3,3,0,82,139,26,0.987,0,0,0,-
정준재,SSG,3루수,18,8,85 2/3,0,0,6,14,1,1.000,0,0,0,-
정현승,SSG,우익수,12,3,40,0,0,5,0,0,1.000,0,0,0,-
정현승,SSG,좌익수,5,2,23,0,0,4,0,0,1.000,0,0,0,-
정현승,SSG,중견수,4,3,23,0,0,6,0,0,1.000,0,0,0,-
조병현,SSG,투수,76,0,73,2,0,6,2,0,0.8,0,0,0,-
조형우,SSG,포수,19,9,90 1/3,1,1,79,6,1,0.988,4,10,3,23.1
최경모,SSG,유격수,9,2,20,1,0,0,2,0,0.667,0,0,0,-
최경모,SSG,3루수,19,5,60,2,0,4,7,0,0.846,0,0,0,-
최경모,SSG,2루수,20,4,72 2/3,1,0,10,26,3,0.973,0,0,0,-
최민준,SSG,투수,32,0,39 1/3,1,0,3,5,1,0.889,0,0,0,-
최민창,SSG,우익수,3,0,4,0,0,1,0,0,1.000,0,0,0,-
최민창,SSG,좌익수,2,0,3,0,0,0,0,0,-,0,0,0,-
최민창,SSG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-
최상민,SSG,우익수,20,0,32 2/3,0,0,6,1,0,1.000,0,0,0,-
최상민,SSG,중견수,14,1,26,0,0,16,1,0,1.000,0,0,0,-
