game_id,date,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20250322LTLG0,2025-03-22,잠실,롯데,LG,finished,23750,14:01,17:02,181,2,12
20250322OBSK0,2025-03-22,문학,두산,SSG,finished,23000,14:00,17:23,203,5,6
20250322WOSS0,2025-03-22,대구,키움,삼성,finished,24000,14:01,16:49,168,5,13
20250322HHKT0,2025-03-22,수원,한화,KT,finished,18700,14:00,17:00,180,4,3
20250322NCHT0,2025-03-22,광주,NC,KIA,finished,20500,14:00,17:06,186,2,9
20250323LTLG0,2025-03-23,잠실,롯데,LG,finished,23750,14:00,16:53,173,2,10
20250323OBSK0,2025-03-23,문학,두산,SSG,finished,23000,14:00,16:54,174,2,5
20250323WOSS0,2025-03-23,대구,키움,삼성,finished,24000,14:00,17:30,210,7,11
20250323HHKT0,2025-03-23,수원,한화,KT,finished,18700,14:00,16:55,175,4,5
20250323NCHT0,2025-03-23,광주,NC,KIA,finished,20500,14:01,16:58,177,5,4
20250325HHLG0,2025-03-25,잠실,한화,LG,finished,23750,18:30,21:00,150,0,5
20250325LTSK0,2025-03-25,문학,롯데,SSG,finished,13860,18:30,22:03,213,3,2
20250325NCSS0,2025-03-25,대구,NC,삼성,finished,21024,18:30,21:45,195,5,14
20250325OBKT0,2025-03-25,수원,두산,KT,finished,8141,18:30,21:39,189,3,8
20250325WOHT0,2025-03-25,광주,키움,KIA,finished,15053,18:30,21:35,185,6,11
20250326HHLG0,2025-03-26,잠실,한화,LG,finished,23750,18:31,21:06,155,0,4
20250326LTSK0,2025-03-26,문학,롯데,SSG,finished,14855,18:30,21:03,153,1,3
20250326NCSS0,2025-03-26,대구,NC,삼성,finished,24000,18:31,21:29,178,8,6
20250326OBKT0,2025-03-26,수원,두산,KT,finished,9607,18:30,21:15,165,3,2
20250326WOHT0,2025-03-26,광주,키움,KIA,finished,17780,18:31,22:21,230,17,10
20250327HHLG0,2025-03-27,잠실,한화,LG,finished,23750,18:31,21:02,151,1,2
20250327LTSK0,2025-03-27,문학,롯데,SSG,finished,14155,18:29,21:34,185,2,5
20250327NCSS0,2025-03-27,대구,NC,삼성,finished,20781,18:30,22:06,216,11,5
20250327OBKT0,2025-03-27,수원,두산,KT,finished,9024,18:30,21:29,179,3,4
20250327WOHT0,2025-03-27,광주,키움,KIA,finished,12288,18:30,21:45,195,5,3
20250328SSOB0,2025-03-28,잠실,삼성,두산,finished,23750,18:30,20:34,124,0,2
20250328KTLT0,2025-03-28,사직,KT,롯데,finished,22665,18:31,21:17,166,2,0
20250328LGNC0,2025-03-28,창원,LG,NC,finished,15510,18:30,21:56,206,8,4
20250328SKWO0,2025-03-28,고척,SSG,키움,finished,11002,18:30,21:13,163,3,9
20250328HTHH0,2025-03-28,대전,KIA,한화,finished,17000,18:30,21:51,201,2,7
20250329SKWO0,2025-03-29,고척,SSG,키움,finished,13785,14:00,16:48,168,1,3
20250329HTHH0,2025-03-29,대전,KIA,한화,finished,17000,14:01,17:16,195,4,5
20250329SSOB0,2025-03-29,잠실,삼성,두산,finished,23750,17:00,20:04,184,13,2
20250329KTLT0,2025-03-29,사직,KT,롯데,finished,22665,17:00,19:23,143,1,3
20250329LGNC0,2025-03-29,창원,LG,NC,finished,17943,17:00,19:56,176,14,4
20250330SSOB0,2025-03-30,잠실,삼성,두산,finished,23750,14:00,16:26,146,3,2
20250330KTLT0,2025-03-30,사직,KT,롯데,finished,22665,14:01,17:44,223,4,4
20250330LGNC0,2025-03-30,사직,LG,NC,canceled,,,,,,
20250330SKWO0,2025-03-30,고척,SSG,키움,finished,13081,13:59,17:04,185,8,2
20250330HTHH0,2025-03-30,대전,KIA,한화,finished,17000,14:01,17:05,184,5,3
20250401WOOB0,2025-04-01,잠실,키움,두산,canceled,,,,,,
20250401SKNC0,2025-04-01,창원,SSG,NC,canceled,,,,,,
20250401LGKT0,2025-04-01,수원,LG,KT,canceled,,,,,,
20250401SSHT0,2025-04-01,광주,삼성,KIA,canceled,,,,,,
20250401LTHH0,2025-04-01,대전,롯데,한화,canceled,,,,,,
20250402WOOB0,2025-04-02,잠실,키움,두산,finished,8336,18:31,21:14,163,3,5
20250402SKNC0,2025-04-02,잠실,SSG,NC,canceled,,,,,,
20250402LGKT0,2025-04-02,수원,LG,KT,finished,7829,18:31,21:36,185,5,9
20250402SSHT0,2025-04-02,광주,삼성,KIA,finished,12172,18:30,21:25,175,4,2
20250402LTHH0,2025-04-02,대전,롯데,한화,finished,16252,18:30,21:35,185,6,2
20250403WOOB0,2025-04-03,잠실,키움,두산,finished,9131,18:30,21:04,154,1,6
20250403SKNC0,2025-04-03,잠실,SSG,NC,canceled,,,,,,
20250403LGKT0,2025-04-03,수원,LG,KT,finished,8627,18:31,21:32,181,5,1
20250403SSHT0,2025-04-03,광주,삼성,KIA,finished,12826,18:30,20:55,145,1,3
20250403LTHH0,2025-04-03,대전,롯데,한화,finished,16559,18:30,21:24,174,4,2
20250404HTLG0,2025-04-04,잠실,KIA,LG,finished,23750,18:31,21:27,176,2,8
20250404KTSK0,2025-04-04,문학,KT,SSG,finished,13323,18:30,22:30,240,2,3
20250404OBLT0,2025-04-04,사직,두산,롯데,finished,17293,18:31,21:43,192,15,3
20250404HHSS0,2025-04-04,대구,한화,삼성,finished,24000,18:30,21:03,153,0,5
20250404NCWO0,2025-04-04,고척,NC,키움,finished,5161,18:30,21:24,174,1,5
20250405HTLG0,2025-04-05,잠실,KIA,LG,canceled,,,,,,
20250405HHSS0,2025-04-05,대구,한화,삼성,finished,24000,14:00,17:17,197,7,6
20250405KTSK0,2025-04-05,대구,KT,SSG,canceled,,,,,,
20250405OBLT0,2025-04-05,사직,두산,롯데,finished,21807,17:05,20:01,176,1,6
20250405NCWO0,2025-04-05,고척,NC,키움,finished,8895,17:00,20:29,209,7,5
20250406HTLG0,2025-04-06,잠실,KIA,LG,finished,23750,14:01,16:32,151,1,5
20250406KTSK0,2025-04-06,문학,KT,SSG,finished,18679,14:00,16:27,147,0,1
20250406OBLT0,2025-04-06,사직,두산,롯데,finished,22665,13:59,18:52,293,15,12
20250406HHSS0,2025-04-06,대구,한화,삼성,finished,24000,14:00,16:46,166,0,10
20250406NCWO0,2025-04-06,고척,NC,키움,finished,7041,14:00,17:11,191,8,2
20250408HHOB0,2025-04-08,잠실,한화,두산,finished,20986,18:30,21:54,204,5,6
20250408HTLT0,2025-04-08,사직,KIA,롯데,finished,14038,18:30,22:04,214,5,4
20250408SKSS0,2025-04-08,대구,SSG,삼성,finished,19327,18:31,21:18,167,3,7
20250408NCKT0,2025-04-08,수원,NC,KT,finished,5233,18:31,21:13,162,2,3
20250408LGWO0,2025-04-08,고척,LG,키움,finished,10452,18:30,20:59,149,13,1
20250409HHOB0,2025-04-09,잠실,한화,두산,finished,19300,18:30,21:30,180,5,4
20250409HTLT0,2025-04-09,사직,KIA,롯데,finished,13551,18:30,21:19,169,3,1
20250409SKSS0,2025-04-09,대구,SSG,삼성,finished,20632,18:30,21:50,200,3,1
20250409NCKT0,2025-04-09,수원,NC,KT,finished,3667,18:40,21:17,157,1,4
20250409LGWO0,2025-04-09,고척,LG,키움,finished,9967,18:30,20:49,139,0,4
20250410HHOB0,2025-04-10,잠실,한화,두산,finished,21561,18:30,21:28,178,7,2
20250410HTLT0,2025-04-10,사직,KIA,롯데,finished,13726,18:30,21:45,195,3,8
20250410SKSS0,2025-04-10,대구,SSG,삼성,finished,21291,18:30,22:06,216,2,3
20250410NCKT0,2025-04-10,수원,NC,KT,finished,5086,18:30,20:52,142,7,0
20250410LGWO0,2025-04-10,고척,LG,키움,finished,10627,18:30,21:12,162,7,3
20250411OBLG0,2025-04-11,잠실,두산,LG,finished,23750,18:30,20:59,149,2,5
20250411LTNC0,2025-04-11,사직,롯데,NC,finished,13728,18:32,21:47,195,7,5
20250411SSKT0,2025-04-11,수원,삼성,KT,finished,17416,18:30,21:08,158,3,5
20250411SKHT0,2025-04-11,광주,SSG,KIA,finished,20500,18:30,21:45,195,9,3
20250411WOHH0,2025-04-11,대전,키움,한화,finished,17000,18:30,21:33,183,2,12
20250412OBLG0,2025-04-12,잠실,두산,LG,finished,22938,15:10,18:25,195,0,4
20250412SSKT0,2025-04-12,잠실,삼성,KT,canceled,,,,,,
20250412LTNC0,2025-04-12,사직,롯데,NC,finished,15222,17:01,20:48,156,2,0
20250412SKHT0,2025-04-12,사직,SSG,KIA,canceled,,,,,,
20250412WOHH0,2025-04-12,대전,키움,한화,finished,15457,17:00,20:29,209,6,2
20250413OBLG0,2025-04-13,잠실,두산,LG,finished,23750,14:01,17:44,196,9,2
20250413LTNC0,2025-04-13,사직,롯데,NC,finished,21003,14:00,18:00,240,6,9
20250413SSKT0,2025-04-13,수원,삼성,KT,finished,18700,14:00,17:22,194,5,6
20250413SKHT0,2025-04-13,광주,SSG,KIA,finished,20500,14:00,16:35,155,5,11
20250413WOHH0,2025-04-13,대전,키움,한화,finished,17000,14:00,16:56,176,1,7
20250415SSLG0,2025-04-15,잠실,삼성,LG,finished,23750,18:31,20:54,143,0,3
20250415HHSK0,2025-04-15,문학,한화,SSG,finished,15618,18:30,21:28,178,2,0
20250415WOLT0,2025-04-15,사직,키움,롯데,finished,9714,18:30,21:55,205,6,8
20250415OBNC0,2025-04-15,사직,두산,NC,canceled,,,,,,
20250415KTHT0,2025-04-15,광주,KT,KIA,finished,10979,18:30,21:03,153,0,1
20250416SSLG0,2025-04-16,잠실,삼성,LG,finished,23750,18:31,21:18,167,2,12
20250416HHSK0,2025-04-16,문학,한화,SSG,finished,16785,18:30,21:32,182,10,4
20250416WOLT0,2025-04-16,사직,키움,롯데,finished,11679,18:30,21:28,178,4,6
20250416OBNC0,2025-04-16,사직,두산,NC,canceled,,,,,,
20250416KTHT0,2025-04-16,광주,KT,KIA,finished,12423,18:30,21:06,156,3,0
20250417SSLG0,2025-04-17,잠실,삼성,LG,finished,23750,18:30,21:45,195,6,3
20250417HHSK0,2025-04-17,문학,한화,SSG,finished,18098,18:29,21:28,179,4,2
20250417WOLT0,2025-04-17,사직,키움,롯데,finished,11812,18:30,21:43,193,1,7
20250417OBNC0,2025-04-17,사직,두산,NC,canceled,,,,,,
20250417KTHT0,2025-04-17,광주,KT,KIA,finished,12104,18:30,21:28,178,4,5
20250418HTOB0,2025-04-18,잠실,KIA,두산,finished,23750,18:30,21:41,191,1,7
20250418LGSK0,2025-04-18,문학,LG,SSG,finished,18091,18:30,21:11,161,5,1
20250418LTSS0,2025-04-18,대구,롯데,삼성,finished,24000,18:30,21:11,161,8,1
20250418KTWO0,2025-04-18,고척,KT,키움,finished,4666,18:30,21:42,192,3,4
20250418NCHH0,2025-04-18,대전,NC,한화,finished,17000,18:30,21:54,204,4,12
20250419HTOB0,2025-04-19,잠실,KIA,두산,finished,23750,14:00,17:39,219,8,4
20250419LGSK0,2025-04-19,문학,LG,SSG,finished,18727,14:00,20:13,218,11,4
20250419LTSS0,2025-04-19,대구,롯데,삼성,finished,24000,17:00,20:13,193,3,10
20250419KTWO0,2025-04-19,고척,KT,키움,finished,8281,17:00,19:46,166,11,1
20250419NCHH0,2025-04-19,대전,NC,한화,finished,17000,17:00,20:13,112,2,7
20250420HTOB0,2025-04-20,잠실,KIA,두산,finished,23750,14:02,17:47,225,6,2
20250420LGSK0,2025-04-20,문학,LG,SSG,finished,23000,14:00,16:57,177,3,9
20250420LTSS0,2025-04-20,대구,롯데,삼성,finished,24000,14:00,17:18,198,4,3
20250420KTWO0,2025-04-20,고척,KT,키움,finished,6859,14:00,16:34,154,5,0
20250420NCHH0,2025-04-20,대전,NC,한화,finished,17000,14:00,17:10,190,1,7
20250422NCLG0,2025-04-22,잠실,NC,LG,finished,12941,18:30,22:02,212,6,5
20250422HHLT0,2025-04-22,잠실,한화,롯데,canceled,,,,,,
20250422HTSS0,2025-04-22,잠실,KIA,삼성,canceled,,,,,,
20250422SKKT0,2025-04-22,수원,SSG,KT,finished,5497,18:30,21:41,191,3,9
