player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
52769,권광민,한화,0.167,15,18,18,2,3,1,0,0,4,0,0,0
53754,김서현,한화,-,3,0,0,0,0,0,0,0,0,0,0,0
50711,김승일,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
66715,김인환,한화,0.080,10,26,25,2,2,0,0,1,5,3,0,0
63765,김종수,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
66704,김태연,한화,0.261,120,340,303,40,79,15,0,3,103,20,6,0
69737,노시환,한화,0.260,144,624,539,97,140,28,2,32,268,101,0,4
55703,리베라토,한화,0.313,62,273,246,41,77,18,2,10,129,39,0,4
53764,문현빈,한화,0.320,141,592,528,71,169,30,2,12,239,80,5,11
67703,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
50709,박정현,한화,0.000,2,2,2,0,0,0,0,0,0,0,0,0
77532,손아섭,한화,0.288,111,416,372,39,107,22,3,1,138,50,4,2
64006,심우준,한화,0.231,94,275,247,39,57,9,1,2,74,22,7,1
79608,안치홍,한화,0.172,66,196,174,9,30,4,0,2,40,18,4,1
69766,유로결,한화,0.154,20,16,13,1,2,0,0,0,2,0,2,0
69213,윤산흠,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
65703,이도윤,한화,0.260,113,277,250,37,65,11,3,1,85,36,10,3
55710,이민재,한화,0.000,3,4,4,0,0,0,0,0,0,0,0,0
52704,이상혁,한화,0.200,39,12,10,14,2,1,0,0,3,2,1,0
55712,이승현,한화,1.000,4,1,1,1,1,0,1,0,3,1,0,0
68700,이원석,한화,0.203,129,248,212,60,43,7,0,4,62,24,7,2
76812,이재원,한화,0.200,98,151,125,4,25,2,1,1,32,12,8,3
66657,이진영,한화,0.274,115,366,321,49,88,13,0,11,134,43,0,5
50704,임종찬,한화,0.167,17,35,30,2,5,1,0,1,9,2,0,0
51762,장규현,한화,1.000,2,2,1,1,1,0,0,0,1,0,0,0
55743,정우주,한화,-,3,0,0,0,0,0,0,0,0,0,0,0
54768,조동욱,한화,-,2,0,0,0,0,0,0,0,0,0,0,0
79192,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,3,0
50707,최인호,한화,0.259,78,159,139,7,36,9,0,2,51,19,1,1
78288,최재훈,한화,0.286,121,348,269,28,77,15,0,1,95,35,10,6
55734,플로리얼,한화,0.271,65,285,258,36,70,18,2,8,116,29,0,2
62700,하주석,한화,0.297,95,305,276,34,82,14,0,4,108,28,11,1
61666,한승혁,한화,-,1,0,0,0,0,0,0,0,0,0,0,0
52764,허인서,한화,0.172,20,30,29,2,5,1,0,0,6,2,0,0
54795,황영묵,한화,0.273,117,286,260,40,71,17,1,1,93,22,2,1
