player_id,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
61353,고종욱,KIA,0.296,46,123,115,13,34,2,0,3,45,16,0,3
66614,김규성,KIA,0.233,133,222,193,30,45,4,0,3,58,16,5,1
69620,김기훈,KIA,0.000,2,1,1,0,0,0,0,0,0,0,0,0
60337,김대유,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
52605,김도영,KIA,0.309,30,122,110,20,34,9,0,7,64,27,0,2
67610,김석환,KIA,0.265,47,134,117,14,31,1,2,2,42,16,0,1
78603,김선빈,KIA,0.321,84,308,271,31,87,18,1,3,116,46,2,1
68928,김시훈,KIA,-,4,0,0,0,0,0,0,0,0,0,0,0
78122,김태군,KIA,0.258,100,274,236,20,61,10,1,5,88,31,8,3
69516,김현수,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
65653,김호령,KIA,0.283,105,381,332,46,94,26,3,6,144,39,8,1
62947,나성범,KIA,0.268,82,310,261,30,70,16,0,10,116,36,0,1
50657,박민,KIA,0.202,71,105,94,11,19,5,0,1,27,6,3,0
55636,박재현,KIA,0.081,58,69,62,11,5,1,0,0,6,3,0,1
67609,박정우,KIA,0.274,53,75,62,17,17,2,0,0,19,4,0,0
64646,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6
55637,박헌,KIA,0.083,8,14,12,0,1,0,0,0,1,0,0,0
69727,변우혁,KIA,0.218,47,153,142,11,31,7,0,0,38,17,0,0
78168,서건창,KIA,0.136,10,26,22,1,3,1,0,1,7,2,2,0
69636,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0
55645,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,0,6
52667,윤도현,KIA,0.275,40,160,149,24,41,7,2,6,70,17,2,0
55632,이성원,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
65665,이준영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
64560,이창진,KIA,0.161,37,113,93,11,15,3,0,1,21,9,1,1
66609,전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
50662,정해영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0
53659,정해원,KIA,0.075,24,46,40,5,3,0,0,0,3,0,0,0
55926,정현창,KIA,0.263,16,21,19,4,5,0,0,0,5,0,0,0
63342,조상우,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0
66354,주효상,KIA,0.333,8,17,15,1,5,2,0,0,7,1,0,0
65464,최정용,KIA,0.167,4,6,6,0,1,0,0,0,1,0,0,0
72443,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5
63722,한승택,KIA,0.238,15,23,21,3,5,1,0,0,6,0,0,0
51994,한재승,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0
68646,한준수,KIA,0.225,103,276,244,33,55,12,1,7,90,26,0,3
65610,황대인,KIA,0.189,18,57,53,3,10,3,0,1,16,8,0,1
52641,황동하,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0
