선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
강진성,키움,6,0,0,0,-,0,0
고영우,키움,14,0,0,0,-,0,0
권혁빈,키움,22,0,0,0,-,0,0
김건희,키움,105,3,2,1,66.7,1,0
김동엽,키움,9,0,0,0,-,0,0
김동헌,키움,49,0,0,0,-,0,0
김병휘,키움,7,0,0,0,-,1,0
김웅빈,키움,10,0,0,0,-,1,0
김재현,키움,62,1,1,0,100,0,0
김태진,키움,94,2,1,1,50.0,2,0
박수종,키움,38,1,1,0,100,0,0
박윤성,키움,3,0,0,0,-,0,0
박정훈,키움,1,0,0,0,-,0,0
박주성,키움,2,0,0,0,-,0,0
박주홍,키움,102,12,11,1,91.7,2,1
변상권,키움,12,0,0,0,-,0,0
서유신,키움,6,0,0,0,-,0,0
송성문,키움,144,27,25,2,92.6,6,2
송지후,키움,33,1,0,1,0.0,1,0
스톤,키움,22,0,0,0,-,0,0
알칸타라,키움,1,0,0,0,-,0,0
양현종,키움,12,0,0,0,-,0,0
어준서,키움,116,1,1,0,100,2,0
여동욱,키움,28,0,0,0,-,1,0
염승원,키움,11,0,0,0,-,0,0
오선진,키움,99,0,0,0,-,1,0
원성준,키움,24,0,0,0,-,0,0
이승원,키움,1,0,0,0,-,0,0
이용규,키움,14,1,1,0,100,0,0
이원석,키움,5,0,0,0,-,0,0
이재상,키움,2,0,0,0,-,0,0
이주형,키움,11,0,0,0,-,0,0
이주형,키움,127,16,15,1,93.8,2,2
이준우,키움,1,0,0,0,-,0,0
이형종,키움,33,1,1,0,100,0,0
임병욱,키움,52,1,1,0,100,1,0
임지열,키움,102,19,13,6,68.4,3,0
장재영,키움,10,1,1,0,100,0,0
전태현,키움,77,4,4,0,100,1,0
주성원,키움,58,4,4,0,100,3,0
주승우,키움,2,0,0,0,-,0,0
최주환,키움,120,0,0,0,-,6,0
카디네스,키움,86,3,1,2,33.3,4,0
푸이그,키움,40,0,0,0,-,0,0
