player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
69100,구본혁,LG,유격수,57,36,315,3,0,57,97,22,0.981,0,0,0,-
69100,구본혁,LG,좌익수,4,2,16,0,0,2,0,0,1.000,0,0,0,-
69100,구본혁,LG,2루수,35,26,220 2/3,1,0,51,63,16,0.991,0,0,0,-
69100,구본혁,LG,3루수,68,33,328 2/3,2,0,21,72,9,0.979,0,0,0,-
77263,김강률,LG,투수,12,0,12 1/3,0,0,1,4,0,1.0,0,0,0,-
67504,김민수,LG,1루수,7,2,27,0,0,23,3,3,1.0,0,0,0,-
67504,김민수,LG,3루수,6,0,13,0,0,0,4,0,1.0,0,0,0,-
67504,김민수,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
52105,김성우,LG,포수,5,0,9,0,0,8,0,0,1.000,0,0,0,-
55167,김영우,LG,투수,66,0,60,0,0,4,11,2,1.0,0,0,0,-
64596,김유영,LG,투수,6,0,4 1/3,0,0,0,1,0,1.0,0,0,0,-
55122,김종운,LG,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
66162,김주성,LG,1루수,4,3,21,0,0,28,2,1,1.000,0,0,0,-
66162,김주성,LG,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
66162,김주성,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
66162,김주성,LG,3루수,1,1,4,1,0,0,2,0,0.667,0,0,0,-
65411,김주온,LG,투수,1,1,1/3,0,0,0,0,0,-,0,0,0,-
75867,김진성,LG,투수,78,0,70 2/3,0,2,2,9,0,1.0,0,0,0,-
51154,김진수,LG,투수,4,0,5,0,0,0,0,0,-,0,0,0,-
76290,김현수,LG,좌익수,76,74,560 2/3,2,0,115,3,0,0.983,0,0,0,-
76290,김현수,LG,1루수,12,9,83,2,0,73,9,6,0.976,0,0,0,-
54166,김현종,LG,좌익수,9,1,14,0,0,1,0,0,1.0,0,0,0,-
54166,김현종,LG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
69102,문보경,LG,1루수,37,18,190 1/3,2,0,191,10,28,0.99,0,0,0,-
69102,문보경,LG,3루수,95,91,753 2/3,14,0,48,153,13,0.935,0,0,0,-
68119,문성주,LG,우익수,80,76,644 1/3,1,0,144,4,0,0.993,0,0,0,-
68119,문성주,LG,좌익수,32,26,226,0,0,57,1,0,1.0,0,0,0,-
52121,문정빈,LG,3루수,9,2,26,0,0,0,4,1,1.0,0,0,0,-
52121,문정빈,LG,좌익수,2,2,7,0,0,4,0,0,1.000,0,0,0,-
52121,문정빈,LG,우익수,2,1,8,0,0,0,0,0,-,0,0,0,-
52121,문정빈,LG,1루수,6,2,18,0,0,18,2,2,1.0,0,0,0,-
55164,박관우,LG,우익수,15,0,27,1,0,2,0,0,0.667,0,0,0,-
55164,박관우,LG,좌익수,17,7,57 1/3,0,0,12,0,0,1.0,0,0,0,-
79365,박동원,LG,포수,130,102,938 1/3,8,2,784,78,11,0.991,2,67,18,21.2
53139,박명근,LG,투수,44,0,38 2/3,0,0,4,7,1,1.0,0,0,0,-
55121,박시원,LG,투수,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
62415,박해민,LG,중견수,144,136,1179,1,0,310,6,2,0.997,0,0,0,-
63145,배재준,LG,투수,14,0,13,0,0,0,1,0,1.0,0,0,0,-
65109,백승현,LG,투수,33,0,30,1,1,3,8,0,0.917,0,0,0,-
68159,성동현,LG,투수,12,0,9,0,0,1,2,0,1.0,0,0,0,-
54156,손용준,LG,1루수,2,2,8,0,0,11,1,1,1.000,0,0,0,-
54156,손용준,LG,3루수,2,2,13,1,0,1,3,2,0.800,0,0,0,-
67143,손주영,LG,투수,30,27,153,2,3,5,19,1,0.923,0,0,0,-
51111,송승기,LG,투수,28,27,144,2,0,8,12,0,0.909,0,0,0,-
68110,송찬의,LG,우익수,25,17,153,0,0,29,0,0,1.0,0,0,0,-
68110,송찬의,LG,3루수,3,0,6,0,0,0,0,0,-,0,0,0,-
68110,송찬의,LG,1루수,4,2,16,1,0,17,1,1,0.947,0,0,0,-
68110,송찬의,LG,중견수,4,2,15,0,0,2,0,0,1.000,0,0,0,-
68110,송찬의,LG,좌익수,24,12,123 1/3,0,0,30,2,0,1.0,0,0,0,-
65207,신민재,LG,유격수,1,0,6,0,0,0,2,0,1.000,0,0,0,-
65207,신민재,LG,2루수,130,113,992 2/3,12,0,245,320,87,0.979,0,0,0,-
65207,신민재,LG,중견수,2,1,6,0,0,0,0,0,-,0,0,0,-
54119,에르난데스,LG,투수,14,14,66,0,0,7,5,1,1.0,0,0,0,-
53123,오스틴,LG,1루수,96,94,793,8,0,723,61,66,0.99,0,0,0,-
79109,오지환,LG,유격수,123,107,939 1/3,9,0,148,295,67,0.98,0,0,0,-
51526,우강훈,LG,투수,11,0,9 2/3,0,0,0,2,0,1.0,0,0,0,-
50106,유영찬,LG,투수,39,0,41,0,0,1,0,0,1.0,0,0,0,-
51100,이영빈,LG,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-
51100,이영빈,LG,유격수,8,1,18,0,0,1,5,1,1.0,0,0,0,-
51100,이영빈,LG,3루수,11,5,50,0,0,2,8,1,1.0,0,0,0,-
51100,이영빈,LG,1루수,14,2,37,0,0,45,2,4,1.0,0,0,0,-
51100,이영빈,LG,2루수,15,5,53,0,0,11,24,3,1.0,0,0,0,-
61145,이우찬,LG,투수,23,0,19,1,0,2,1,0,0.75,0,0,0,-
69134,이정용,LG,투수,39,0,34,0,0,0,2,0,1.0,0,0,0,-
50904,이종준,LG,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
52154,이주헌,LG,포수,69,42,332,4,0,295,16,2,0.987,5,28,3,9.7
69108,이지강,LG,투수,43,1,47 1/3,0,0,4,4,1,1.0,0,0,0,-
61101,임찬규,LG,투수,27,27,160 1/3,5,1,6,21,4,0.844,0,0,0,-
63950,장현식,LG,투수,56,0,49 2/3,1,0,2,3,0,0.833,0,0,0,-
69159,정우영,LG,투수,4,0,2 2/3,0,0,0,0,0,-,0,0,0,-
50054,천성호,LG,1루수,21,10,99,1,0,89,9,9,0.99,0,0,0,-
50054,천성호,LG,3루수,20,10,85,1,0,7,9,3,0.941,0,0,0,-
50054,천성호,LG,좌익수,8,5,29,0,0,6,0,0,1.0,0,0,0,-
50054,천성호,LG,우익수,3,3,17,0,0,1,0,0,1.000,0,0,0,-
50054,천성호,LG,2루수,27,18,158 1/3,2,0,36,66,14,0.981,0,0,0,-
65905,최승민,LG,우익수,2,0,2 1/3,0,0,0,0,0,-,0,0,0,-
65905,최승민,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-
65905,최승민,LG,좌익수,12,0,19 2/3,1,0,5,0,0,0.833,0,0,0,-
52103,최원영,LG,중견수,34,5,78 1/3,0,0,29,0,0,1.0,0,0,0,-
52103,최원영,LG,좌익수,60,8,169 1/3,1,0,41,0,0,0.976,0,0,0,-
52103,최원영,LG,우익수,27,7,81,0,0,23,0,0,1.0,0,0,0,-
68419,최채흥,LG,투수,13,4,29,0,0,1,4,2,1.0,0,0,0,-
55146,치리노스,LG,투수,30,30,177,2,1,10,33,1,0.956,0,0,0,-
55138,코엔 윈,LG,투수,5,5,23,0,0,0,6,0,1.000,0,0,0,-
55130,톨허스트,LG,투수,8,8,44,1,0,3,4,2,0.875,0,0,0,-
63248,함덕주,LG,투수,31,0,27,0,0,1,2,0,1.0,0,0,0,-
50108,함창건,LG,우익수,6,0,12,0,0,3,0,0,1.000,0,0,0,-
50108,함창건,LG,좌익수,9,7,56,0,0,17,0,0,1.0,0,0,0,-
66108,홍창기,LG,우익수,42,40,329 2/3,0,0,58,2,0,1.0,0,0,0,-
