player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
51867,김건우,SSG,3.82,35,5,4,0,2,0.556,66,53,2,49,7,68,31,28,1.55
77829,김광현,SSG,5.0,28,10,10,0,0,0.500,144,164,13,50,4,138,86,80,1.49
68043,김민,SSG,2.97,70,5,2,1,22,0.714,63 2/3,60,7,17,6,65,23,21,1.21
50848,김성민,SSG,0.0,2,1,0,0,0,1.000,2/3,0,0,2,0,0,0,0,3.0
65343,김택형,SSG,2.78,25,0,0,0,1,-,22 2/3,19,0,10,3,14,7,7,1.28
73211,노경은,SSG,2.14,77,3,6,3,35,0.333,80,60,2,25,3,68,22,19,1.06
62869,문승원,SSG,5.13,23,4,7,0,0,0.364,105 1/3,109,16,38,5,61,61,60,1.4
54802,박기호,SSG,3.0,18,0,0,0,2,-,24,23,3,12,8,13,10,8,1.46
50812,박시후,SSG,3.27,52,6,2,0,3,0.750,52 1/3,45,5,29,5,34,24,19,1.41
60841,박종훈,SSG,7.11,5,0,2,0,0,0.000,19,15,4,18,5,10,17,15,1.74
61895,서진용,SSG,6.75,2,0,0,0,0,-,1 1/3,1,0,3,0,0,1,1,3.0
53898,송영진,SSG,5.83,21,2,5,0,0,0.286,63 1/3,77,10,31,3,40,45,41,1.71
55860,신지환,SSG,0.0,1,0,0,0,0,-,1,0,0,0,1,1,0,0,0.0
54833,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171 2/3,121,13,51,9,245,53,43,1.0
53892,이로운,SSG,1.99,75,6,5,1,33,0.545,77,56,7,26,0,66,19,17,1.06
52809,전영준,SSG,4.61,34,1,5,0,0,0.167,52 2/3,48,5,26,5,55,28,27,1.41
66858,정동윤,SSG,8.31,12,0,0,0,0,-,17 1/3,21,2,12,0,17,16,16,1.9
51897,조병현,SSG,1.6,69,5,4,30,0,0.556,67 1/3,42,5,18,0,79,13,12,0.89
68856,최민준,SSG,3.97,40,2,2,0,1,0.500,65 2/3,72,6,24,3,44,34,29,1.46
54803,최현석,SSG,6.23,13,0,0,0,0,-,17 1/3,21,5,6,2,11,13,12,1.56
68092,한두솔,SSG,4.95,44,2,0,1,3,1.000,36 1/3,46,1,19,1,27,22,20,1.79
55855,화이트,SSG,2.87,24,11,4,0,0,0.733,134 2/3,111,9,44,8,137,51,43,1.15
