선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
고명준,SSG,130,2,2,0,100,1,0
김강민,SSG,1,0,0,0,-,0,0
김건우,SSG,1,0,0,0,-,0,0
김성욱,SSG,56,3,1,2,33.3,1,0
김성현,SSG,59,2,1,1,50.0,1,0
김수윤,SSG,7,0,0,0,-,0,0
김찬형,SSG,44,0,0,0,-,1,0
김창평,SSG,4,0,0,0,-,0,0
김태윤,SSG,8,2,1,1,50.0,0,0
김택형,SSG,1,0,0,0,-,0,0
노경은,SSG,1,0,0,0,-,0,0
류효승,SSG,27,1,0,1,0.0,0,0
맥브룸,SSG,22,0,0,0,-,0,0
박성한,SSG,127,11,5,6,45.5,4,1
박지환,SSG,31,1,0,1,0.0,1,0
석정우,SSG,27,0,0,0,-,1,0
신범수,SSG,29,0,0,0,-,0,0
안상현,SSG,102,23,17,6,73.9,2,0
에레디아,SSG,96,3,1,2,33.3,5,0
오태곤,SSG,122,33,25,8,75.8,2,0
이로운,SSG,1,0,0,0,-,0,0
이승민,SSG,2,0,0,0,-,0,0
이율예,SSG,8,0,0,0,-,0,0
이정범,SSG,3,0,0,0,-,0,0
이지영,SSG,76,3,2,1,66.7,2,0
임근우,SSG,3,0,0,0,-,0,0
전영준,SSG,1,0,0,0,-,0,0
정준재,SSG,132,45,37,8,82.2,4,0
정현승,SSG,3,0,0,0,-,0,0
조병현,SSG,2,0,0,0,-,0,0
조형우,SSG,102,0,0,0,-,2,0
채현우,SSG,41,2,2,0,100,0,0
최민준,SSG,1,0,0,0,-,0,0
최상민,SSG,23,2,1,1,50.0,1,0
최정,SSG,95,1,1,0,100,3,0
최준우,SSG,78,2,2,0,100,1,0
최지훈,SSG,140,35,28,7,80.0,6,2
최현석,SSG,1,0,0,0,-,0,0
하재훈,SSG,18,3,1,2,33.3,0,0
한두솔,SSG,1,0,0,0,-,0,0
한유섬,SSG,128,1,1,0,100,2,0
현원회,SSG,21,0,0,0,-,0,0
홍대인,SSG,14,2,1,1,50.0,0,0
