YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
2021,63123,강승호,두산,2루수,103,82,686 1/3,5,0,137,226,46,0.986,0,0,0,
2021,63123,강승호,두산,3루수,12,4,49,1,0,8,10,0,0.947,0,0,0,
2021,63123,강승호,두산,유격수,1,0,4,2,0,2,1,0,0.6,0,0,0,
2021,63123,강승호,두산,1루수,17,0,22,0,0,12,5,2,1,0,0,0,
2021,66201,고봉재,두산,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,68220,곽빈,두산,투수,21,21,98 2/3,1,0,3,6,0,0.9,0,0,0,
2021,79290,국해성,두산,우익수,3,1,13,0,0,2,0,0,1,0,0,0,
2021,68204,권민석,두산,2루수,6,0,19,0,0,5,4,2,1,0,0,0,
2021,68204,권민석,두산,3루수,10,0,19,1,0,5,2,0,0.875,0,0,0,
2021,68204,권민석,두산,1루수,11,0,14,0,0,7,0,1,1,0,0,0,
2021,68204,권민석,두산,유격수,1,0,1,0,0,0,0,0,,0,0,0,
2021,68204,권민석,두산,좌익수,1,0,1,0,0,1,0,0,1,0,0,0,
2021,50203,권휘,두산,투수,24,0,20 1/3,0,0,1,3,0,1,0,0,0,
2021,77263,김강률,두산,투수,50,0,51 2/3,0,1,4,7,1,1,0,0,0,
2021,51294,김도윤,두산,투수,1,0,1,0,0,0,0,0,,0,0,0,
2021,67246,김명신,두산,투수,58,1,67,0,0,2,11,0,1,0,0,0,
2021,68200,김민규,두산,투수,31,6,56 1/3,0,0,3,1,0,1,0,0,0,
2021,65269,김민혁,두산,3루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,65269,김민혁,두산,1루수,1,0,2,0,0,2,0,1,1,0,0,0,
2021,63257,김인태,두산,우익수,83,75,536,0,0,145,4,2,1,0,0,0,
2021,63257,김인태,두산,좌익수,38,18,188,0,0,40,1,1,1,0,0,0,
2021,63257,김인태,두산,1루수,1,0,2,0,0,3,0,0,1,0,0,0,
2021,74206,김재호,두산,유격수,83,63,543,4,0,108,150,41,0.985,0,0,0,
2021,78224,김재환,두산,좌익수,126,125,948,4,0,199,4,0,0.981,0,0,0,
2021,69104,남호,두산,투수,5,0,2 2/3,0,0,0,1,0,1,0,0,0,
2021,51234,로켓,두산,투수,21,21,124,4,1,7,15,1,0.846,0,0,0,
2021,67259,문원,두산,투수,2,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,51257,미란다,두산,투수,28,28,173 2/3,0,0,4,15,0,1,0,0,0,
2021,79215,박건우,두산,우익수,88,63,571 2/3,0,0,129,3,1,1,0,0,0,
2021,79215,박건우,두산,중견수,57,55,361 1/3,1,0,109,0,0,0.991,0,0,0,
2021,64468,박계범,두산,유격수,64,43,374 1/3,1,0,70,87,21,0.994,0,0,0,
2021,64468,박계범,두산,2루수,56,36,316 1/3,8,0,73,105,27,0.957,0,0,0,
2021,64468,박계범,두산,3루수,27,18,140 2/3,2,0,18,21,1,0.951,0,0,0,
2021,62244,박세혁,두산,포수,96,73,575 1/3,4,2,495,51,1,0.993,2,39,19,32.8
2021,63292,박소준,두산,투수,22,5,59 2/3,1,0,3,6,1,0.9,0,0,0,
2021,50205,박웅,두산,투수,10,0,11 2/3,0,0,0,1,0,1,0,0,0,
2021,65639,박정수,두산,투수,12,5,30 1/3,1,0,2,2,1,0.8,0,0,0,
2021,50204,박지훈,두산,1루수,14,0,20 2/3,0,0,20,3,1,1,0,0,0,
2021,50204,박지훈,두산,3루수,6,0,9,0,0,1,1,0,1,0,0,0,
2021,50204,박지훈,두산,2루수,1,0,2,0,0,0,0,0,,0,0,0,
2021,50204,박지훈,두산,우익수,1,1,2,0,0,0,0,0,,0,0,0,
2021,50204,박지훈,두산,유격수,1,0,4,0,0,3,1,0,1,0,0,0,
2021,67266,박치국,두산,투수,23,0,22,0,0,2,4,0,1,0,0,0,
2021,63559,백동훈,두산,우익수,2,0,1 1/3,0,0,1,0,0,1,0,0,0,
2021,63559,백동훈,두산,좌익수,1,0,1,0,0,0,0,0,,0,0,0,
2021,63559,백동훈,두산,중견수,2,2,8,0,0,5,0,0,1,0,0,0,
2021,66203,서예일,두산,3루수,3,1,7,1,0,0,2,0,0.667,0,0,0,
2021,66203,서예일,두산,2루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,66203,서예일,두산,유격수,1,0,2,0,0,1,0,0,1,0,0,0,
2021,64086,신성현,두산,3루수,2,2,17,0,0,2,4,1,1,0,0,0,
2021,64086,신성현,두산,1루수,6,0,13,0,0,10,2,2,1,0,0,0,
2021,50202,안권수,두산,중견수,11,1,27 1/3,0,0,6,0,0,1,0,0,0,
2021,50202,안권수,두산,우익수,52,3,107 1/3,0,0,27,0,0,1,0,0,0,
2021,50202,안권수,두산,좌익수,18,0,32,0,0,6,1,0,1,0,0,0,
2021,51203,안재석,두산,유격수,61,37,340,9,0,67,97,22,0.948,0,0,0,
2021,51203,안재석,두산,3루수,9,3,33,1,0,4,8,1,0.923,0,0,0,
2021,51203,안재석,두산,2루수,24,15,108 1/3,3,0,25,33,6,0.951,0,0,0,
2021,64153,양석환,두산,1루수,127,125,1014 1/3,8,0,854,57,92,0.991,0,0,0,
2021,50208,오명진,두산,유격수,1,0,1,0,0,0,0,0,,0,0,0,
2021,50208,오명진,두산,3루수,1,0,3,0,0,0,0,0,,0,0,0,
2021,50208,오명진,두산,2루수,1,0,1,0,0,1,0,0,1,0,0,0,
2021,77248,오재원,두산,1루수,14,2,40 1/3,0,0,30,3,4,1,0,0,0,
2021,77248,오재원,두산,중견수,1,0,1,0,0,0,0,0,,0,0,0,
2021,77248,오재원,두산,우익수,1,0,1 1/3,0,0,0,1,0,1,0,0,0,
2021,77248,오재원,두산,2루수,28,10,125 1/3,2,0,32,47,12,0.975,0,0,0,
2021,66160,유재유,두산,투수,4,0,3 1/3,0,0,0,1,0,1,0,0,0,
2021,79229,유희관,두산,투수,15,15,63,0,0,6,4,0,1,0,0,0,
2021,62242,윤명준,두산,투수,45,0,45 2/3,0,2,1,13,1,1,0,0,0,
2021,69205,이교훈,두산,투수,11,0,8 1/3,0,0,0,1,0,1,0,0,0,
2021,64805,이승진,두산,투수,47,0,48 1/3,1,0,2,5,1,0.875,0,0,0,
2021,66291,이영하,두산,투수,35,11,78 2/3,0,0,2,8,0,1,0,0,0,
2021,76329,이현승,두산,투수,38,0,23 1/3,0,0,1,1,0,1,0,0,0,
2021,62951,이형범,두산,투수,4,0,2 2/3,0,0,1,0,0,1,0,0,0,
2021,63202,장승현,두산,포수,91,57,505,4,0,429,33,5,0.991,7,30,16,34.8
2021,74513,장원준,두산,투수,32,0,18 2/3,0,0,0,5,0,1,0,0,0,
2021,68205,전민재,두산,2루수,4,0,6,1,0,3,0,0,0.75,0,0,0,
2021,68205,전민재,두산,3루수,3,0,6,0,0,0,1,0,1,0,0,0,
2021,79231,정수빈,두산,중견수,103,77,731 2/3,1,0,218,4,1,0.996,0,0,0,
2021,66209,조수행,두산,중견수,36,9,140,1,0,61,1,0,0.984,0,0,0,
2021,66209,조수행,두산,우익수,15,1,36 2/3,0,0,11,0,0,1,0,0,0,
2021,66209,조수행,두산,좌익수,52,1,99 1/3,0,0,27,0,0,1,0,0,0,
2021,50296,조제영,두산,투수,6,1,10 2/3,0,0,0,1,0,1,0,0,0,
2021,50298,최세창,두산,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,51264,최승용,두산,투수,15,2,18 1/3,0,0,0,1,0,1,0,0,0,
2021,64213,최용제,두산,1루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,64213,최용제,두산,포수,49,14,189,4,0,136,20,2,0.975,1,14,6,30
2021,67263,최원준,두산,투수,29,29,158 1/3,1,2,8,15,0,0.958,0,0,0,
2021,69209,페르난데스,두산,1루수,18,17,140,3,0,107,5,9,0.974,0,0,0,
2021,79240,허경민,두산,3루수,130,116,984 2/3,8,0,92,161,21,0.969,0,0,0,
2021,68260,현도훈,두산,투수,5,2,8 2/3,0,0,1,0,0,1,0,0,0,
2021,61643,홍건희,두산,투수,65,0,74 1/3,0,0,6,12,1,1,0,0,0,
2021,66207,황경태,두산,2루수,1,0,4,1,0,2,0,0,0.667,0,0,0,
2021,66710,강상원,한화,좌익수,16,0,40,0,0,10,0,0,1,0,0,0,
2021,66710,강상원,한화,중견수,10,6,60,0,0,15,0,0,1,0,0,0,
2021,66710,강상원,한화,우익수,9,3,30,0,0,4,0,0,1,0,0,0,
2021,50705,강재민,한화,투수,58,0,63 1/3,0,0,5,6,2,1,0,0,0,
2021,69702,김건,한화,2루수,3,1,13,0,0,2,5,2,1,0,0,0,
2021,51715,김기중,한화,투수,15,12,53 2/3,0,0,1,3,0,1,0,0,0,
2021,67711,김기탁,한화,투수,19,0,12 1/3,0,0,0,0,0,,0,0,0,
2021,69745,김도현,한화,투수,14,5,26,1,0,0,3,0,0.75,0,0,0,
2021,65764,김민우,한화,투수,29,28,155 1/3,1,1,15,17,0,0.97,0,0,0,
2021,61554,김민하,한화,좌익수,16,11,98 1/3,1,0,27,0,0,0.964,0,0,0,
2021,61554,김민하,한화,중견수,6,5,42,1,0,16,1,0,0.944,0,0,0,
2021,61554,김민하,한화,우익수,20,12,118,1,0,28,1,0,0.967,0,0,0,
2021,65769,김범수,한화,투수,56,2,70 2/3,0,0,2,7,2,1,0,0,0,
2021,63765,김종수,한화,투수,49,0,46 2/3,0,0,2,4,0,1,0,0,0,
2021,65503,김지수,한화,좌익수,5,2,20,0,0,3,0,0,1,0,0,0,
2021,65503,김지수,한화,중견수,1,1,9,0,0,0,0,0,,0,0,0,
2021,65503,김지수,한화,우익수,6,4,30,0,0,11,0,0,1,0,0,0,
2021,67737,김진영,한화,투수,20,0,18 1/3,0,0,1,2,0,1,0,0,0,
2021,66704,김태연,한화,우익수,18,17,119,0,0,30,3,0,1,0,0,0,
2021,66704,김태연,한화,3루수,30,26,228,5,0,29,58,6,0.946,0,0,0,
2021,66704,김태연,한화,좌익수,4,4,25,0,0,10,0,0,1,0,0,0,
2021,66704,김태연,한화,2루수,8,2,34,2,0,10,11,1,0.913,0,0,0,
2021,50720,남지민,한화,투수,3,3,7 1/3,0,0,0,0,0,,0,0,0,
2021,63704,노수광,한화,좌익수,10,7,66,0,0,21,1,0,1,0,0,0,
2021,63704,노수광,한화,중견수,41,37,311,0,0,96,3,0,1,0,0,0,
2021,69737,노시환,한화,3루수,96,94,811,20,0,98,176,27,0.932,0,0,0,
2021,69737,노시환,한화,1루수,5,0,12 2/3,0,0,9,1,2,1,0,0,0,
2021,64704,노태형,한화,1루수,9,8,61,0,0,55,1,7,1,0,0,0,
2021,64704,노태형,한화,3루수,3,2,14,2,0,1,3,0,0.667,0,0,0,
2021,64554,문동욱,한화,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,68703,박성웅,한화,투수,2,1,3,0,0,0,0,0,,0,0,0,
2021,50709,박정현,한화,유격수,17,11,110,1,0,18,27,3,0.978,0,0,0,
2021,50709,박정현,한화,1루수,7,7,52,2,0,42,3,3,0.957,0,0,0,
