YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2021,63123,강승호,두산,0.239,113,340,301,47,72,16,2,7,113,37,8,3
2021,79290,국해성,두산,0.125,4,8,8,0,1,0,0,0,1,0,0,0
2021,68204,권민석,두산,0.214,33,15,14,8,3,2,0,0,5,1,0,0
2021,50203,권휘,두산,,2,0,0,0,0,0,0,0,0,0,0,0
2021,77263,김강률,두산,,8,0,0,0,0,0,0,0,0,0,0,0
2021,67246,김명신,두산,,4,0,0,0,0,0,0,0,0,0,0,0
2021,68200,김민규,두산,,2,0,0,0,0,0,0,0,0,0,0,0
2021,65269,김민혁,두산,0,6,8,6,0,0,0,0,0,0,0,0,0
2021,63257,김인태,두산,0.259,133,418,344,51,89,15,1,8,130,46,5,4
2021,74206,김재호,두산,0.209,89,251,211,23,44,8,0,1,55,24,6,3
2021,78224,김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,0,5
2021,69104,남호,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,67259,문원,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,79215,박건우,두산,0.325,126,525,458,82,149,31,2,6,202,63,0,6
2021,64468,박계범,두산,0.267,118,385,322,44,86,12,1,5,115,46,7,3
2021,51298,박성재,두산,0,1,1,1,0,0,0,0,0,0,0,0,0
2021,62244,박세혁,두산,0.219,96,270,237,25,52,12,0,0,64,30,3,3
2021,63292,박소준,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,50204,박지훈,두산,0.333,34,14,12,6,4,1,0,0,5,2,0,0
2021,67266,박치국,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,63559,백동훈,두산,0,5,3,3,1,0,0,0,0,0,0,0,0
2021,66203,서예일,두산,0,5,1,1,0,0,0,0,0,0,0,0,0
2021,64086,신성현,두산,0.182,11,15,11,3,2,0,0,0,2,0,0,0
2021,50202,안권수,두산,0.238,87,47,42,17,10,0,1,0,12,4,2,0
2021,51203,안재석,두산,0.255,96,224,200,28,51,8,2,2,69,14,0,4
2021,64153,양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,0,7
2021,50208,오명진,두산,0,2,3,3,1,0,0,0,0,0,0,0,0
2021,77248,오재원,두산,0.167,45,79,72,6,12,3,0,0,15,5,0,1
2021,62242,윤명준,두산,,4,0,0,0,0,0,0,0,0,0,0,0
2021,69205,이교훈,두산,,2,0,0,0,0,0,0,0,0,0,0,0
2021,64805,이승진,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,66291,이영하,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,63202,장승현,두산,0.232,92,211,177,18,41,10,0,2,57,27,6,1
2021,68205,전민재,두산,0.25,9,5,4,1,1,0,0,0,1,1,0,1
2021,79231,정수빈,두산,0.259,104,351,313,50,81,19,4,3,117,37,4,2
2021,66209,조수행,두산,0.286,115,104,84,34,24,2,1,1,31,8,1,0
2021,64213,최용제,두산,0.279,79,119,104,7,29,3,0,0,32,15,1,1
2021,69209,페르난데스,두산,0.315,141,617,540,73,170,24,0,15,239,81,0,6
2021,79240,허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3
2021,61643,홍건희,두산,,1,0,0,0,0,0,0,0,0,0,0,0
2021,66207,황경태,두산,0,1,1,1,0,0,0,0,0,0,0,0,0
2021,66710,강상원,한화,0.108,35,49,37,7,4,0,0,0,4,2,2,0
2021,50705,강재민,한화,,2,0,0,0,0,0,0,0,0,0,0,0
2021,69702,김건,한화,0.083,5,12,12,0,1,0,0,0,1,0,0,0
2021,67711,김기탁,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,61554,김민하,한화,0.209,46,142,115,14,24,4,1,1,33,17,0,2
2021,63765,김종수,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,65503,김지수,한화,0.083,11,25,24,0,2,1,0,0,3,0,0,0
2021,71752,김태균,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,66704,김태연,한화,0.301,53,220,176,29,53,12,0,3,74,34,0,5
2021,63704,노수광,한화,0.231,52,180,160,21,37,7,0,3,53,14,2,0
2021,69737,노시환,한화,0.271,107,458,380,56,103,18,1,18,177,84,0,4
2021,64704,노태형,한화,0.116,18,49,43,6,5,1,0,0,6,1,0,0
2021,66707,박상언,한화,0,1,1,1,0,0,0,0,0,0,0,0,0
2021,50709,박정현,한화,0.196,33,120,107,10,21,4,0,0,25,9,3,1
2021,78643,백용환,한화,0.14,39,102,86,10,12,1,0,4,25,4,2,0
2021,61156,송윤준,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,51767,송호정,한화,0,10,11,10,1,0,0,0,0,0,0,0,0
2021,60140,신정락,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,69766,유로결,한화,0.143,34,112,98,11,14,5,0,1,22,7,2,2
2021,63464,윤대경,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,63961,윤호솔,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,65703,이도윤,한화,0.175,56,68,63,5,11,0,0,0,11,2,1,0
2021,64266,이성곤,한화,0.264,62,208,174,17,46,12,2,1,65,24,1,1
2021,73136,이성열,한화,0.21,46,140,119,15,25,8,0,2,39,20,0,2
2021,66702,이시원,한화,0.189,33,62,53,8,10,1,0,0,11,2,4,0
2021,68700,이원석,한화,0.175,43,130,114,12,20,1,1,1,26,9,4,2
2021,60343,이해창,한화,0.167,20,60,54,4,9,3,0,0,12,4,3,1
2021,50704,임종찬,한화,0.153,42,146,131,9,20,5,0,1,28,8,2,0
2021,62611,임준섭,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,51762,장규현,한화,0.25,7,12,12,0,3,1,0,0,4,1,0,0
2021,79764,장민재,한화,,1,0,0,0,0,0,0,0,0,0,0,0
2021,63700,장운호,한화,0.235,103,338,285,36,67,10,0,0,77,28,7,3
2021,51706,장지승,한화,0.18,24,72,61,7,11,1,0,1,15,5,2,1
2021,51764,정민규,한화,0.125,6,17,16,1,2,1,0,0,3,0,0,0
2021,74857,정우람,한화,,4,0,0,0,0,0,0,0,0,0,0,0
2021,68743,정은원,한화,0.283,139,608,495,85,140,22,5,6,190,39,4,3
2021,61208,정진호,한화,0.228,47,167,145,9,33,9,0,0,42,15,4,2
2021,69705,조한민,한화,0.197,52,145,127,15,25,6,2,5,50,18,1,2
2021,50707,최인호,한화,0.206,49,164,136,17,28,6,0,4,46,23,0,2
2021,78288,최재훈,한화,0.275,116,467,375,52,103,21,0,7,145,44,5,3
2021,51714,페레즈,한화,0.268,59,252,224,26,60,15,1,5,92,33,0,7
2021,62700,하주석,한화,0.272,138,594,525,84,143,27,3,10,206,68,5,3
2021,69706,허관회,한화,0.19,28,79,63,4,12,0,0,0,12,2,0,2
2021,51725,힐리,한화,0.257,67,268,249,27,64,11,1,7,98,37,0,1
2021,61700,강경학,KIA,0.152,25,39,33,3,5,0,0,0,5,1,0,0
2021,51640,권다결,KIA,0.222,5,18,18,1,4,0,0,0,4,0,0,0
2021,66614,김규성,KIA,0.139,54,41,36,8,5,1,0,0,6,2,0,0
2021,62864,김민식,KIA,0.22,100,301,250,30,55,8,0,3,72,26,3,3
2021,67610,김석환,KIA,0.263,5,20,19,1,5,0,0,1,8,3,0,0
2021,78603,김선빈,KIA,0.307,130,564,501,55,154,32,0,5,201,67,1,5
2021,64984,김태진,KIA,0.276,99,414,381,43,105,12,5,1,130,36,6,4
