year,player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2021,66201,고봉재,두산,27,1,0,0,0,0,,1.33,5,1,0,0,0,4,4,3.75
2021,68220,곽빈,두산,4.1,21,4,7,0,0,0.364,98.66,78,7,79,12,96,50,45,1.59
2021,50203,권휘,두산,2.66,24,0,0,0,1,,20.33,16,0,14,2,15,6,6,1.48
2021,77263,김강률,두산,2.09,50,3,0,21,3,1,51.66,54,2,25,1,41,15,12,1.53
2021,51294,김도윤,두산,0,1,0,0,0,0,,1.00,0,0,0,0,2,0,0,0
2021,67246,김명신,두산,4.3,58,3,2,0,2,0.6,67.00,72,6,14,6,43,37,32,1.28
2021,68200,김민규,두산,6.07,31,2,3,0,1,0.4,56.33,64,9,28,4,39,40,38,1.63
2021,69104,남호,두산,10.13,5,0,1,0,0,0,2.66,3,0,3,0,2,3,3,2.25
2021,51234,로켓,두산,2.98,21,9,9,0,0,0.5,124.00,132,5,42,12,112,44,41,1.4
2021,67259,문원,두산,6.75,2,0,0,0,0,,1.33,2,1,2,0,1,1,1,3
2021,51257,미란다,두산,2.33,28,14,5,0,0,0.737,173.66,135,11,63,1,225,49,45,1.14
2021,63292,박소준,두산,5.73,22,0,4,0,0,0,59.66,69,3,29,3,33,42,38,1.64
2021,50205,박웅,두산,5.4,10,0,0,0,0,,11.66,12,0,4,3,7,7,7,1.37
2021,65639,박정수,두산,7.42,12,3,3,0,0,0.5,30.33,38,5,14,3,26,27,25,1.71
2021,67266,박치국,두산,4.09,23,2,1,0,8,0.667,22.00,21,2,11,1,20,11,10,1.45
2021,66160,유재유,두산,10.8,4,0,0,0,0,,3.33,4,2,5,0,1,4,4,2.7
2021,79229,유희관,두산,7.71,15,4,7,0,0,0.364,63.00,107,10,24,3,23,57,54,2.08
2021,62242,윤명준,두산,4.73,45,1,0,0,1,1,45.66,53,3,20,4,26,28,24,1.6
2021,69205,이교훈,두산,10.8,11,0,0,0,0,,8.33,13,2,3,1,8,10,10,1.92
