year,player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2021,63123,강승호,두산,113,10,8,2,80,3,0
2021,79290,국해성,두산,4,0,0,0,,0,0
2021,68204,권민석,두산,33,0,0,0,,0,0
2021,50203,권휘,두산,2,0,0,0,,0,0
2021,77263,김강률,두산,8,0,0,0,,0,0
2021,67246,김명신,두산,4,0,0,0,,0,0
2021,68200,김민규,두산,2,0,0,0,,0,0
2021,65269,김민혁,두산,6,0,0,0,,0,0
2021,63257,김인태,두산,133,2,0,2,0,4,1
2021,74206,김재호,두산,89,2,1,1,50,2,0
2021,78224,김재환,두산,137,5,2,3,40,4,1
2021,69104,남호,두산,1,0,0,0,,0,0
2021,67259,문원,두산,1,0,0,0,,0,0
2021,79215,박건우,두산,126,13,13,0,100,6,0
2021,79215,박건우,두산,126,13,13,0,100,6,0
2021,64468,박계범,두산,118,7,4,3,57.1,4,0
2021,51298,박성재,두산,1,0,0,0,,0,0
2021,62244,박세혁,두산,96,6,4,2,66.7,1,0
2021,63292,박소준,두산,1,0,0,0,,0,0
2021,50204,박지훈,두산,34,4,3,1,75,1,0
2021,67266,박치국,두산,1,0,0,0,,0,0
2021,63559,백동훈,두산,5,0,0,0,,0,0
2021,66203,서예일,두산,5,0,0,0,,0,0
2021,64086,신성현,두산,11,0,0,0,,1,0
2021,50202,안권수,두산,87,3,3,0,100,0,0
2021,51203,안재석,두산,96,1,1,0,100,1,2
2021,64153,양석환,두산,133,5,2,3,40,6,0
2021,50208,오명진,두산,2,0,0,0,,0,0
2021,77248,오재원,두산,45,2,2,0,100,0,2
2021,62242,윤명준,두산,4,0,0,0,,0,0
2021,69205,이교훈,두산,2,0,0,0,,0,0
2021,64805,이승진,두산,1,0,0,0,,0,0
2021,66291,이영하,두산,1,0,0,0,,0,0
2021,63202,장승현,두산,92,0,0,0,,4,0
2021,68205,전민재,두산,9,0,0,0,,0,0
2021,79231,정수빈,두산,104,19,12,7,63.2,1,3
2021,66209,조수행,두산,115,25,21,4,84,2,1
2021,64213,최용제,두산,79,0,0,0,,0,0
2021,69209,페르난데스,두산,141,2,0,2,0,4,0
